sample_id,group,batch,measure_1,resolution_ang,r_free,chain_length_aa,molecular_weight_kda,fraction_helix,fraction_sheet,mean_b_factor,radius_gyration_ang,ligand_count,isoelectric_point,target_a,target_b
STR-500041,TreatmentA,B03,94.0,1.02,0.1252,201,79.72,0.4774,0.3652,59.11,24.25,4,7.17,1,1
STR-500997,TreatmentA,B03,102.96,2.82,0.2156,380,60.89,0.3389,0.3872,97.78,21.76,3,7.34,0,1
STR-500726,TreatmentA,B03,97.65,2.16,0.2446,339,39.4,0.3954,0.3617,37.59,31.45,3,7.24,1,1
STR-500607,TreatmentB,B02,104.44,3.64,0.2354,420,30.82,0.5455,0.1644,13.5,23.5,3,6.18,0,0
STR-500257,TreatmentA,B03,116.02,1.82,0.2611,421,11.55,0.4594,0.4681,30.28,23.51,0,4.14,0,0
STR-500957,TreatmentB,B02,85.07,0.75,0.2415,443,77.69,0.5305,0.2491,6.09,32.19,2,8.56,0,0
STR-500222,TreatmentA,B03,86.27,1.98,0.2161,262,89.69,0.6345,0.3062,18.75,16.71,2,7.07,1,1
STR-500945,TreatmentA,B02,120.26,1.66,0.1862,361,40.67,0.362,0.4912,24.65,27.94,3,6.37,1,1
STR-500131,TreatmentB,B01,104.44,1.87,0.2264,506,81.43,0.3921,0.0727,63.79,26.27,3,4.89,0,0
STR-500593,TreatmentA,B02,109.25,1.58,0.2655,128,15.6,0.4255,0.317,29.75,27.82,4,8.96,0,0
STR-500741,Control,B02,104.0,2.37,0.2457,368,56.08,0.5328,0.2911,34.4,25.71,1,6.72,0,1
STR-500821,Control,B01,98.33,1.63,0.2326,938,23.52,0.5166,0.3605,32.99,26.14,3,7.78,1,0
STR-500434,TreatmentB,B03,76.32,2.73,0.3261,303,30.14,0.2582,0.5141,39.14,22.11,1,7.78,0,0
STR-500793,TreatmentA,B02,109.83,2.01,0.2151,346,27.76,0.5715,0.5784,28.81,23.88,3,6.72,1,1
STR-500299,TreatmentA,B02,103.45,1.01,0.2682,403,46.86,0.0624,0.2899,14.68,25.8,2,9.68,0,0
STR-500127,Control,B01,118.14,2.57,0.2573,554,120.89,0.4794,0.2518,72.14,32.99,3,5.63,0,0
STR-500703,Control,B01,90.52,4.04,0.2298,466,30.12,0.5043,0.3229,63.58,25.83,4,6.28,0,1
STR-500050,TreatmentB,B03,90.54,3.02,0.2739,519,18.61,0.4864,0.2408,15.33,16.23,4,7.33,0,1
STR-500302,TreatmentA,B03,117.66,1.45,0.216,279,46.36,0.3427,0.2313,29.22,27.54,7,6.06,1,1
STR-500314,TreatmentA,B02,98.7,0.91,0.2795,288,20.54,0.507,0.3629,24.42,31.3,3,7.39,1,1
STR-500409,Control,B01,74.42,2.18,0.2315,326,31.72,0.3539,0.3002,57.43,17.37,6,7.05,0,1
STR-500419,TreatmentA,B01,78.56,2.63,0.2827,252,58.92,0.5231,0.2368,19.53,21.76,2,8.9,0,0
STR-500482,Control,B02,68.8,1.18,0.3364,243,25.79,0.3697,0.2822,24.59,18.49,4,5.53,1,0
STR-500036,Control,B01,120.71,2.5,0.1531,183,23.18,0.5346,0.3588,52.03,22.47,1,4.34,1,0
STR-500246,TreatmentA,B03,77.34,1.4,0.2236,163,77.24,0.5338,0.1991,22.68,14.24,3,6.11,1,1
STR-500531,TreatmentB,B03,88.47,0.82,0.1345,152,67.94,0.4838,0.4816,22.68,30.15,1,5.44,1,1
STR-500411,Control,B03,76.51,3.08,0.2483,306,48.72,0.4285,0.5296,33.3,29.45,3,7.62,0,1
STR-500782,TreatmentA,B01,106.63,1.7,0.2145,261,18.1,0.2734,0.3207,16.38,20.39,2,8.49,1,0
STR-500352,Control,B01,85.42,2.57,0.2387,167,27.28,0.3261,0.2941,47.67,34.22,2,5.93,0,1
STR-500504,TreatmentB,B01,101.93,1.06,0.2259,315,40.02,0.5169,0.4992,28.18,23.91,0,6.05,0,1
STR-500098,Control,B01,106.24,1.83,0.2562,68,33.08,0.515,0.4291,42.31,23.33,2,7.38,1,1
STR-500259,TreatmentB,B02,130.09,1.27,0.2948,585,68.5,0.3089,0.2997,33.27,20.23,0,6.92,0,1
STR-500175,Control,B02,112.16,2.02,0.25,267,31.83,0.4124,0.0817,54.46,24.46,2,5.77,1,1
STR-500519,TreatmentB,B01,60.95,1.47,0.2872,211,47.23,0.3952,0.3099,8.47,33.45,1,6.08,0,1
STR-500520,TreatmentA,B03,103.63,1.7,0.2599,611,13.97,0.4638,0.4608,31.3,25.31,2,4.66,1,0
STR-500971,TreatmentA,B02,108.19,2.37,0.2039,117,27.47,0.3224,0.5433,17.6,26.74,5,6.69,1,1
STR-500904,TreatmentA,B01,103.57,2.24,0.2275,222,28.54,0.266,0.3058,28.64,28.2,2,6.97,1,1
STR-500146,TreatmentA,B03,83.14,2.84,0.2557,325,21.44,0.3882,0.2081,58.14,23.53,3,8.32,0,1
STR-500602,TreatmentB,B01,108.54,1.99,0.2437,253,19.32,0.5392,0.5297,25.96,38.76,5,7.62,1,1
STR-500276,Control,B01,130.16,2.94,0.2635,310,22.73,0.8355,0.2362,20.73,23.59,2,7.81,1,0
STR-500427,TreatmentB,B03,80.99,1.59,0.1835,547,79.55,0.5387,0.3694,20.06,21.28,3,6.45,1,1
