sample_id,group,batch,measure_1,resting_potential_mv,input_resistance_mohm,membrane_tau_ms,rheobase_pa,ap_threshold_mv,ap_half_width_ms,max_firing_rate_hz,spike_count,adaptation_index,target_a,target_b
NEU-504333,Control,B03,110.0,-60.08,140.3,11.39,147.6,-43.41,1.564,62.2,63,0.2454,1,1
NEU-507324,TreatmentB,B02,97.91,-62.42,510.3,30.1,49.7,-43.2,0.717,32.4,92,0.3361,0,0
NEU-507988,TreatmentB,B02,112.75,-65.62,148.3,25.5,68.4,-41.13,1.172,73.4,78,0.4532,1,1
NEU-504657,Control,B01,81.27,-66.78,144.2,28.21,109.6,-46.12,0.987,42.2,91,0.5126,0,1
NEU-501156,TreatmentB,B03,92.23,-68.6,83.4,13.69,88.8,-39.69,1.037,72.6,82,0.2002,1,0
NEU-504680,Control,B02,83.35,-66.02,165.8,22.9,113.0,-37.56,1.439,29.4,85,0.5586,0,1
NEU-509149,TreatmentB,B02,125.63,-74.33,279.3,15.08,117.6,-48.6,0.704,67.7,76,0.6591,1,0
NEU-506630,TreatmentB,B01,87.45,-60.32,59.1,11.05,9.7,-42.42,0.93,72.2,98,0.3796,1,0
NEU-504703,Control,B02,88.62,-60.68,349.3,17.02,146.7,-39.52,1.117,37.3,83,0.4988,1,1
NEU-503241,TreatmentB,B03,113.38,-58.29,268.3,14.35,88.7,-43.5,1.052,45.5,81,0.3941,0,0
NEU-506218,TreatmentA,B03,115.5,-63.23,551.6,10.04,104.5,-42.1,1.203,51.0,78,0.2653,0,1
NEU-509504,Control,B01,103.56,-60.6,199.6,21.51,115.6,-45.09,0.832,38.8,71,0.3831,0,0
NEU-508373,TreatmentA,B03,115.04,-64.11,167.0,29.53,48.8,-38.04,0.898,54.2,82,0.3575,1,1
NEU-506556,Control,B01,114.39,-65.57,234.5,17.69,113.6,-43.38,1.063,34.2,77,0.428,0,1
NEU-508795,TreatmentB,B02,96.44,-66.64,268.9,16.5,53.7,-42.8,1.1,49.8,75,0.2542,0,0
NEU-501463,TreatmentA,B01,96.34,-72.77,114.8,6.79,41.2,-43.24,1.37,55.0,80,0.3842,1,0
NEU-506662,Control,B01,102.44,-62.19,146.6,19.02,138.4,-34.43,1.121,20.2,108,0.1294,0,1
NEU-505968,Control,B02,85.08,-68.62,117.2,13.5,173.9,-43.02,1.27,48.9,73,0.5639,0,0
NEU-508499,TreatmentA,B01,119.5,-65.2,219.2,14.36,170.5,-44.89,1.459,48.6,79,0.4742,0,1
NEU-504330,Control,B02,73.77,-54.54,154.8,9.72,151.9,-33.49,1.571,42.2,87,0.2541,0,0
NEU-504033,TreatmentA,B02,78.64,-64.97,231.3,17.26,129.3,-48.75,1.096,45.6,93,0.2923,0,1
NEU-509945,TreatmentB,B02,89.22,-53.93,145.6,12.15,69.3,-40.63,1.294,58.2,81,0.1924,1,0
NEU-506657,TreatmentA,B01,110.24,-73.58,72.6,6.91,58.3,-43.29,0.677,72.6,75,0.4315,1,0
NEU-501420,Control,B02,81.71,-66.26,170.1,13.3,143.5,-35.0,0.741,33.9,79,0.6347,0,1
NEU-501783,TreatmentA,B03,85.86,-65.4,84.8,20.01,136.0,-45.25,1.1,43.3,87,0.6222,1,1
NEU-507909,TreatmentA,B01,88.95,-66.31,306.1,20.49,95.7,-38.66,0.876,37.4,74,0.4177,0,1
NEU-508859,Control,B01,119.62,-76.0,119.5,9.43,160.9,-35.91,0.965,46.3,88,0.2103,0,0
NEU-500699,Control,B02,74.22,-70.74,290.4,9.75,143.2,-35.8,0.876,56.5,85,0.4199,0,0
NEU-509671,TreatmentA,B03,112.82,-58.01,231.7,26.82,105.5,-43.64,1.244,38.7,82,0.3526,1,0
NEU-508788,TreatmentA,B02,118.11,-62.99,365.5,24.46,110.1,-44.29,1.918,55.7,86,0.5284,0,1
NEU-506700,TreatmentB,B02,110.47,-66.68,151.1,16.5,68.4,-48.19,1.372,84.9,81,0.3128,1,0
NEU-508716,TreatmentA,B02,106.63,-54.76,217.6,23.19,135.2,-37.26,1.128,72.1,92,0.5667,1,0
NEU-504340,Control,B02,102.3,-71.84,169.5,19.48,126.6,-37.41,1.037,35.6,94,0.6903,1,1
NEU-506736,TreatmentA,B03,93.96,-64.05,391.6,5.01,113.2,-47.3,0.755,63.2,82,0.5355,0,0
NEU-501104,TreatmentB,B01,123.36,-66.53,94.5,9.57,124.0,-41.98,1.009,44.3,78,0.4513,0,1
NEU-508593,Control,B02,109.82,-71.59,151.8,14.39,90.3,-40.66,0.885,22.7,92,0.3443,0,0
NEU-506826,TreatmentA,B02,111.6,-68.11,229.6,17.55,74.5,-36.84,0.975,41.0,76,0.5313,0,1
NEU-505259,Control,B01,92.7,-63.2,124.3,16.0,127.4,-39.69,0.984,32.1,89,0.389,0,0
NEU-505602,TreatmentB,B01,112.07,-67.7,273.3,20.91,49.9,-50.18,0.605,49.8,94,0.3007,0,0
NEU-503875,TreatmentB,B01,82.4,-68.62,163.7,14.34,71.8,-43.81,0.688,76.4,74,0.3724,1,1
NEU-508595,TreatmentB,B01,88.09,-65.02,111.2,10.84,30.6,-49.67,0.791,64.0,94,0.3081,1,1
