sample_id,group,batch,measure_1,nuclei_count,mean_nuclear_area,mean_cell_area,mean_intensity_dapi,mean_intensity_gfp,nuclear_circularity,fraction_in_focus,background_sd,target_a,target_b
IMG-000001,TreatmentB,B01,93.97,264,191.31,969.95,938.1,919.4,0.9721,0.7247,19.06,1,0
IMG-000002,Control,B03,104.72,210,143.61,779.54,1733.3,92.6,0.8385,0.954,18.07,0,1
IMG-000003,TreatmentB,B03,112.63,259,185.77,868.39,1758.7,559.2,0.7783,0.8033,22.85,1,1
IMG-000004,TreatmentA,B03,98.64,240,245.37,766.16,1383.8,368.2,0.8866,0.9424,26.59,0,0
IMG-000005,TreatmentA,B02,84.32,220,212.27,744.27,1481.7,840.8,0.6188,0.9905,18.38,1,0
IMG-000006,TreatmentA,B02,39.15,225,218.83,654.34,1283.1,566.9,0.8523,0.7246,30.19,0,1
IMG-000007,TreatmentB,B03,87.29,248,183.85,535.36,1552.3,1390.3,0.8655,0.965,18.9,1,1
IMG-000008,TreatmentB,B03,90.25,234,197.93,432.84,1260.6,1171.5,0.9459,0.8391,38.22,1,1
IMG-000009,TreatmentB,B02,88.4,250,117.85,678.6,1327.2,1016.1,0.6039,0.9496,27.84,1,0
IMG-000010,TreatmentA,B01,106.83,234,163.15,602.93,1198.4,282.8,0.5377,0.8977,20.02,1,1
IMG-000011,TreatmentA,B01,92.31,265,171.65,924.02,947.0,148.8,0.9051,0.8438,20.97,1,0
IMG-000012,Control,B01,83.17,231,216.81,605.1,1620.5,58.8,0.7436,0.9709,14.71,0,0
IMG-000013,TreatmentB,B03,100.04,275,149.03,966.93,933.6,1223.9,0.8742,0.9426,20.56,1,0
IMG-000014,TreatmentB,B01,111.11,266,182.26,771.22,1690.5,1137.9,0.9567,0.8344,11.64,1,1
IMG-000015,Control,B03,115.58,243,220.18,816.05,1520.2,42.4,0.8062,0.9808,22.98,0,0
IMG-000016,TreatmentA,B01,98.42,236,171.87,755.03,1847.9,521.9,0.7081,0.9333,38.67,1,1
IMG-000017,TreatmentB,B03,94.0,250,232.76,780.62,1930.2,1135.1,0.8612,0.9761,28.49,1,1
IMG-000018,Control,B03,93.08,237,201.57,830.25,1723.5,35.2,0.9211,0.8789,19.97,0,1
IMG-000019,TreatmentA,B01,105.33,234,246.33,430.7,1583.5,188.8,0.8749,0.9271,42.42,0,0
IMG-000020,Control,B02,124.58,257,242.93,723.0,1350.6,727.8,0.795,0.9353,17.47,1,0
IMG-000021,Control,B01,87.7,216,132.98,663.47,928.6,225.7,0.9623,0.8071,45.07,0,1
IMG-000022,TreatmentB,B01,102.77,258,209.89,664.61,1655.6,1139.4,0.7291,0.8718,20.53,1,0
IMG-000023,TreatmentB,B01,99.35,250,113.73,760.49,1447.2,942.1,0.6935,0.7986,19.81,1,0
IMG-000024,TreatmentB,B01,117.48,237,190.89,655.0,1523.9,428.9,0.74,0.9635,24.31,1,1
IMG-000025,TreatmentB,B01,67.93,260,241.93,826.53,1083.3,498.3,0.8364,0.9692,15.07,0,0
IMG-000026,Control,B01,107.83,253,215.65,837.6,1613.8,-1.3,0.7218,0.8092,19.18,0,1
IMG-000027,Control,B03,99.79,229,227.53,653.55,1360.2,181.1,0.7649,0.9438,24.89,0,1
IMG-000028,TreatmentB,B01,84.27,254,110.05,690.09,1234.0,807.0,0.9041,0.9624,21.18,1,1
IMG-000029,TreatmentA,B03,94.84,256,117.73,610.42,1633.6,362.5,0.8573,0.7498,19.59,0,0
IMG-000030,TreatmentA,B02,92.02,209,215.88,721.84,1178.4,263.0,0.9126,0.9903,18.03,0,1
IMG-000031,TreatmentA,B03,127.89,252,152.94,601.96,1566.2,644.3,0.7863,0.8873,18.49,1,0
IMG-000032,Control,B01,93.83,213,175.87,628.99,1063.3,1113.0,0.7824,0.8728,16.28,1,1
IMG-000033,TreatmentA,B03,88.7,228,182.23,886.62,1441.8,206.5,0.8547,0.8012,17.61,0,1
IMG-000034,TreatmentB,B03,83.46,273,237.45,680.6,1530.3,535.8,0.6341,0.7226,13.38,1,0
IMG-000035,Control,B02,104.06,248,200.67,649.82,1307.7,470.2,0.8065,0.7851,19.32,0,0
IMG-000036,Control,B03,117.85,221,228.56,439.71,1320.5,673.4,0.8992,0.9495,23.46,0,1
IMG-000037,TreatmentB,B01,97.61,251,187.05,581.6,1309.0,1145.0,0.6447,0.8609,33.94,1,1
IMG-000038,TreatmentA,B02,110.84,260,161.76,699.64,1429.9,351.4,0.5981,0.9821,25.51,1,1
IMG-000039,TreatmentA,B02,91.94,244,180.62,771.08,1147.3,906.2,0.8494,0.9331,18.43,0,1
IMG-000040,TreatmentA,B02,86.0,241,197.01,572.7,1568.7,581.1,0.8304,0.7537,13.07,0,1
IMG-000041,TreatmentB,B02,89.89,241,100.61,1042.6,1067.3,557.2,0.5432,0.9674,21.23,1,0
IMG-000042,Control,B03,72.43,208,180.54,821.36,1627.4,-68.4,0.7325,0.8636,32.41,0,1
IMG-000043,TreatmentA,B03,91.86,229,207.13,902.06,1421.0,140.0,0.5439,0.9601,24.06,0,0
IMG-000044,TreatmentA,B02,91.42,211,227.42,494.76,1378.0,630.2,0.8438,0.8868,34.2,0,0
IMG-000045,Control,B02,84.47,253,144.01,888.09,1290.8,84.7,0.7302,0.8165,20.46,0,0
IMG-000046,Control,B02,123.75,210,198.34,756.05,1332.1,2.6,0.8054,0.9183,34.77,0,0
IMG-000047,TreatmentB,B03,133.5,267,176.42,802.94,1257.8,1347.2,0.8078,0.8481,15.42,1,1
IMG-000048,TreatmentA,B02,92.85,241,199.85,453.29,1504.2,428.7,0.8397,0.9736,17.63,1,1
IMG-000049,TreatmentB,B03,117.88,251,219.54,772.45,1671.2,912.0,0.8153,0.9521,23.77,1,1
IMG-000050,Control,B01,94.45,218,231.24,1099.79,1484.6,381.7,0.5118,0.9915,19.35,1,1
IMG-000051,Control,B01,105.67,227,205.46,692.33,1607.2,976.8,0.7438,0.8765,51.34,1,0
IMG-000052,Control,B01,100.44,239,198.05,809.87,1955.7,-85.5,0.7677,0.8973,23.31,0,1
IMG-000053,Control,B02,100.21,230,231.58,751.0,726.6,315.6,0.8778,0.8714,17.67,0,0
IMG-000054,TreatmentB,B03,103.46,242,182.87,856.73,1416.7,936.9,0.6952,0.8856,11.5,1,1
IMG-000055,Control,B02,89.1,233,152.44,631.75,1593.6,193.6,0.7105,0.9065,56.45,1,0
IMG-000056,Control,B03,102.93,193,114.18,840.0,1179.2,80.6,0.8373,0.9258,21.69,0,0
IMG-000057,TreatmentA,B01,108.55,248,177.3,559.87,1586.9,234.0,0.8416,0.8132,33.55,0,0
IMG-000058,TreatmentB,B02,93.57,217,123.16,306.48,1425.9,907.6,0.7852,0.9252,22.03,1,0
IMG-000059,Control,B01,107.91,213,169.18,351.41,1547.2,-78.0,0.8488,0.895,13.35,0,0
IMG-000060,TreatmentA,B02,110.18,220,191.91,510.55,1579.2,349.4,0.872,0.9701,22.66,0,0
IMG-000061,TreatmentB,B01,88.34,222,194.13,585.17,1957.4,906.3,0.7262,0.942,11.55,1,0
IMG-000062,TreatmentA,B03,107.87,262,166.45,437.49,1166.5,714.0,0.8358,0.9657,31.85,1,1
IMG-000063,Control,B01,145.41,222,249.09,866.22,1505.3,-126.7,0.8189,0.8982,32.61,0,0
IMG-000064,TreatmentB,B03,98.44,250,175.66,855.09,1115.2,1200.0,0.7197,0.9645,22.95,1,0
IMG-000065,TreatmentA,B02,110.86,236,174.97,616.53,1675.9,285.6,0.8003,0.9054,14.4,0,0
IMG-000066,Control,B01,92.48,230,165.1,1095.1,1163.8,1067.3,0.9281,0.9752,24.16,0,0
IMG-000067,TreatmentB,B02,94.51,220,176.42,665.65,1236.7,582.9,0.9237,0.9212,35.18,1,1
IMG-000068,TreatmentA,B02,113.56,248,222.89,298.02,1326.7,496.1,0.8699,0.8851,10.34,0,0
IMG-000069,Control,B02,79.78,224,237.53,977.82,1178.7,143.2,0.9527,0.9589,31.39,0,0
IMG-000070,TreatmentB,B02,97.05,237,217.03,596.24,725.8,958.8,0.9272,0.9777,18.98,1,1
IMG-000071,TreatmentA,B03,83.03,254,168.82,460.1,1022.3,444.3,0.6446,0.7412,32.33,1,1
IMG-000072,TreatmentB,B01,126.78,249,178.93,678.17,1324.9,617.2,0.7917,0.9167,26.47,1,1
IMG-000073,TreatmentB,B02,79.05,253,159.22,711.24,1053.5,1190.1,0.6328,0.8495,30.41,0,1
IMG-000074,TreatmentB,B01,87.3,276,185.63,824.35,1137.5,499.6,0.57,0.9882,23.04,1,1
IMG-000075,Control,B01,98.01,222,220.82,757.01,1265.5,176.4,0.9125,0.8552,23.28,0,1
IMG-000076,Control,B03,103.03,264,233.18,866.01,1416.7,484.3,0.8565,0.9142,26.16,0,0
IMG-000077,TreatmentA,B02,91.54,247,217.22,895.19,973.7,356.5,0.8162,0.9097,22.86,1,0
IMG-000078,Control,B01,98.66,252,174.45,631.62,1458.2,-82.0,0.8685,0.9563,36.93,0,1
IMG-000079,Control,B02,118.74,242,207.12,875.91,1363.7,-69.7,0.8031,0.9183,29.45,0,1
IMG-000080,Control,B01,113.42,244,254.23,677.23,1243.0,614.7,0.9424,0.9517,27.32,0,0
IMG-000081,TreatmentA,B01,126.88,257,179.76,685.21,1536.7,361.3,0.5951,0.9041,10.93,1,1
IMG-000082,TreatmentB,B01,110.29,260,219.22,598.34,1552.1,723.1,0.8511,0.9688,31.34,0,0
IMG-000083,TreatmentB,B02,101.44,249,195.94,721.47,1642.6,846.4,0.7024,0.9587,23.69,1,1
IMG-000084,Control,B03,99.16,225,182.5,902.91,1085.2,266.5,0.865,0.8607,15.5,0,0
IMG-000085,Control,B03,112.17,216,215.7,821.92,1158.9,233.6,0.8355,0.8326,19.05,0,0
IMG-000086,Control,B01,72.91,213,246.01,893.45,1348.5,118.8,0.7814,0.9498,15.11,0,0
IMG-000087,Control,B01,75.26,227,171.35,683.31,1373.7,759.2,0.8676,0.9395,16.56,1,1
IMG-000088,TreatmentB,B01,75.58,247,204.45,749.13,1277.2,601.2,0.8375,0.8348,16.37,1,1
IMG-000089,TreatmentA,B02,109.4,244,201.1,814.82,1764.4,718.8,0.5809,0.89,29.64,1,1
IMG-000090,TreatmentB,B01,97.69,227,206.85,790.1,1173.7,527.6,0.8808,0.9842,27.09,0,0
IMG-000091,TreatmentB,B01,97.59,288,129.19,783.73,1430.3,690.2,0.8228,0.9318,46.31,0,0
IMG-000092,TreatmentA,B01,102.03,225,160.3,539.5,1331.7,455.6,0.7308,0.9186,17.19,0,1
IMG-000093,TreatmentB,B01,101.39,264,197.73,883.18,1130.3,1232.0,0.7712,0.8056,20.37,1,0
IMG-000094,Control,B01,122.93,237,188.04,693.51,1488.5,-95.1,0.8577,0.9669,29.23,0,1
IMG-000095,TreatmentA,B01,104.45,226,194.03,772.93,1615.4,238.5,0.7834,0.8153,15.55,0,1
IMG-000096,TreatmentB,B02,93.57,240,163.25,1096.21,1628.3,756.2,0.7451,0.9133,11.98,1,1
IMG-000097,Control,B02,68.3,243,127.41,810.1,1654.7,1227.6,0.8413,0.8963,27.66,1,0
IMG-000098,Control,B03,98.48,243,146.86,585.64,1472.6,199.5,0.9178,0.9653,39.48,0,0
IMG-000099,Control,B02,83.07,219,215.44,460.88,1781.7,377.9,0.5515,0.8582,26.26,1,0
IMG-000100,TreatmentB,B01,106.03,253,161.29,854.93,1882.7,776.4,0.879,0.9851,29.88,0,1
IMG-000101,TreatmentB,B02,120.04,221,188.1,470.81,1220.6,596.2,0.701,0.9513,7.98,1,1
IMG-000102,TreatmentB,B01,85.92,260,135.57,772.49,2253.4,677.0,0.9204,0.7801,30.92,0,0
IMG-000103,TreatmentB,B02,77.33,252,134.2,961.23,1584.8,784.3,0.5408,0.9029,36.13,0,1
IMG-000104,TreatmentA,B01,115.4,225,207.78,1043.41,1276.3,389.9,0.7425,0.9091,19.95,1,0
IMG-000105,TreatmentA,B03,121.81,207,192.83,959.34,1466.9,347.0,0.7325,0.9566,17.66,0,1
IMG-000106,Control,B02,121.17,231,178.84,731.04,665.3,122.1,0.8802,0.9101,34.8,0,1
IMG-000107,Control,B02,92.57,229,226.18,735.22,1710.6,228.7,0.5949,0.773,22.22,0,0
IMG-000108,Control,B01,105.53,232,136.93,711.63,1677.3,884.9,0.942,0.92,41.03,0,0
IMG-000109,TreatmentA,B02,92.67,225,151.25,598.87,1390.6,439.8,0.8776,0.947,33.96,0,0
IMG-000110,TreatmentA,B02,99.95,248,214.63,703.18,1689.1,319.9,0.9019,0.9626,14.39,0,0
IMG-000111,TreatmentB,B02,111.79,255,218.44,549.33,1169.6,898.1,0.8869,0.9017,24.64,1,0
IMG-000112,TreatmentB,B01,87.85,230,202.46,750.77,1474.2,710.4,0.7035,0.935,10.83,0,0
IMG-000113,TreatmentA,B01,103.85,227,148.3,829.4,1170.2,256.6,0.7066,0.831,14.94,1,0
IMG-000114,TreatmentA,B01,71.15,237,219.0,492.62,1224.3,355.5,0.7862,0.9702,28.88,0,1
IMG-000115,Control,B01,81.06,234,240.59,815.21,1559.2,-33.8,0.9333,0.9368,30.67,0,0
IMG-000116,TreatmentA,B01,64.31,244,182.74,825.41,1607.1,641.4,0.6187,0.9528,17.37,1,1
IMG-000117,TreatmentA,B03,80.37,244,128.84,710.52,1415.2,355.8,0.5768,0.9825,35.88,1,0
IMG-000118,TreatmentA,B03,98.01,241,208.01,800.49,1285.2,332.1,0.8617,0.9225,22.36,0,1
IMG-000119,TreatmentB,B01,78.34,253,185.18,702.4,1358.5,566.3,0.8155,0.9591,20.66,0,1
IMG-000120,Control,B01,73.75,231,220.18,763.99,1658.0,194.9,0.9311,0.7853,46.23,0,1
IMG-000121,Control,B01,92.35,231,197.57,685.19,1279.4,270.0,0.7966,0.924,31.07,1,1
IMG-000122,Control,B01,98.64,230,138.29,963.84,1322.2,1088.3,0.9721,0.9655,10.44,1,0
IMG-000123,Control,B02,94.59,220,164.44,450.93,1924.2,364.1,0.7012,0.8797,11.66,0,0
IMG-000124,TreatmentB,B02,106.66,238,220.34,640.36,1349.6,866.4,0.7743,0.8788,22.93,1,0
IMG-000125,Control,B02,113.83,261,145.42,500.49,1857.0,384.9,0.8905,0.8899,32.24,1,0
IMG-000126,TreatmentB,B03,82.78,226,113.41,468.74,1015.4,1534.9,0.8428,0.7987,40.3,1,1
IMG-000127,TreatmentB,B03,105.09,242,161.58,416.89,1519.4,1106.3,0.6765,0.9458,23.97,1,0
IMG-000128,TreatmentB,B02,102.14,241,191.1,493.74,1257.7,927.1,0.803,0.9699,55.62,0,1
IMG-000129,Control,B03,93.78,230,172.93,649.21,2213.7,-41.2,0.7392,0.9596,15.59,0,1
IMG-000130,Control,B01,100.13,234,142.94,648.52,1289.9,-134.1,0.8595,0.9336,25.75,0,0
IMG-000131,TreatmentA,B03,90.57,235,159.16,868.14,1638.2,244.6,0.7774,0.7232,45.88,0,1
IMG-000132,TreatmentB,B02,124.96,252,180.74,669.57,918.1,548.3,0.7665,0.9232,18.18,1,1
IMG-000133,TreatmentB,B01,88.02,233,193.01,833.0,1260.3,1376.9,0.9348,0.9515,12.29,1,0
IMG-000134,Control,B02,105.09,240,222.35,635.92,1445.8,335.7,0.7283,0.9415,9.83,1,0
IMG-000135,TreatmentB,B03,97.53,248,229.37,695.63,1853.3,1089.8,0.9185,0.8172,21.55,1,0
IMG-000136,Control,B03,92.06,224,156.24,680.78,2084.6,200.5,0.8877,0.8567,33.65,0,0
IMG-000137,Control,B02,97.7,249,151.87,832.61,1589.1,852.8,0.656,0.8887,22.36,1,1
IMG-000138,TreatmentA,B03,105.52,245,235.37,658.95,2008.1,754.7,0.7738,0.8815,15.05,1,0
IMG-000139,TreatmentB,B01,107.47,256,185.71,795.23,1567.0,685.5,0.6551,0.9159,19.82,1,1
IMG-000140,TreatmentA,B02,79.65,261,214.95,605.87,1402.3,208.8,0.6643,0.9637,39.91,1,1
IMG-000141,Control,B03,134.03,196,159.47,529.99,1265.0,259.0,0.7767,0.9606,33.55,0,1
IMG-000142,TreatmentA,B03,89.23,243,129.79,963.11,1490.9,436.2,0.8649,0.8931,18.92,0,0
IMG-000143,TreatmentA,B03,119.93,238,167.15,723.77,1441.8,822.6,0.7728,0.914,28.24,0,1
IMG-000144,Control,B03,78.88,216,179.07,652.26,1119.7,-59.7,0.755,0.9049,14.74,0,1
IMG-000145,Control,B01,83.86,234,212.71,634.96,1488.1,280.6,0.7731,0.975,19.1,0,1
IMG-000146,TreatmentB,B03,117.11,268,162.3,868.64,1667.2,754.2,0.8565,0.6995,26.04,1,1
IMG-000147,TreatmentB,B03,99.91,243,185.96,684.1,1285.5,701.6,0.7898,0.9032,18.65,0,1
IMG-000148,Control,B02,118.68,239,182.32,402.41,1742.6,439.7,0.8465,0.8872,33.81,0,0
IMG-000149,TreatmentB,B02,108.8,244,191.7,697.84,1600.8,1064.9,0.7541,0.8998,17.5,1,1
IMG-000150,TreatmentB,B01,111.91,207,225.34,737.0,1349.8,918.8,0.9039,0.8352,35.32,0,0
IMG-000151,TreatmentB,B01,96.32,269,150.91,748.73,1263.4,1120.2,0.6841,0.9222,20.3,1,0
IMG-000152,TreatmentA,B03,60.3,255,136.06,676.5,1647.4,343.9,0.4766,0.9507,13.31,1,0
IMG-000153,TreatmentB,B01,88.77,247,242.1,438.54,1264.5,1000.1,0.5958,0.8269,10.64,1,0
IMG-000154,TreatmentB,B03,133.0,208,245.79,376.36,1356.4,659.5,0.8756,0.9587,18.51,0,0
IMG-000155,Control,B03,110.13,255,195.39,844.81,2091.7,109.8,0.7765,0.8447,9.29,0,1
IMG-000156,Control,B03,109.74,258,239.97,573.13,1628.0,220.0,0.8513,0.8884,24.44,1,0
IMG-000157,Control,B02,117.24,206,204.58,894.75,1020.5,477.7,0.8304,0.8671,9.06,0,0
IMG-000158,TreatmentA,B01,85.19,271,162.55,803.33,1470.2,713.6,0.827,0.8541,25.61,1,0
IMG-000159,TreatmentB,B02,101.67,246,155.58,504.8,1067.6,1082.8,0.6806,0.7975,20.4,1,1
IMG-000160,TreatmentB,B01,124.92,236,182.68,1149.59,1235.4,691.8,0.6795,0.7544,24.32,0,0
IMG-000161,TreatmentA,B03,103.37,219,175.48,1067.11,1226.6,342.7,0.8879,0.785,15.47,0,1
IMG-000162,Control,B01,102.54,236,239.86,989.77,1610.1,261.2,0.7308,0.8753,16.19,0,1
IMG-000163,TreatmentB,B03,103.05,216,179.76,862.56,1452.0,608.4,0.8636,0.9026,14.29,0,1
IMG-000164,Control,B03,110.17,227,197.16,751.32,1707.0,-55.5,0.7708,0.818,12.2,0,1
IMG-000165,TreatmentA,B01,124.57,254,229.21,725.14,1399.2,729.9,0.7866,0.9735,20.85,1,0
IMG-000166,TreatmentB,B01,122.3,228,194.28,733.72,922.6,825.0,0.8247,0.9397,23.07,0,1
IMG-000167,Control,B03,134.72,237,210.5,659.71,724.4,252.2,0.8378,0.8375,50.79,0,1
IMG-000168,TreatmentB,B03,86.32,235,153.05,779.23,1817.2,551.1,0.8579,0.8975,20.36,1,0
IMG-000169,TreatmentA,B03,104.68,225,199.07,821.81,1543.6,600.2,0.5178,0.9512,14.65,0,1
IMG-000170,TreatmentA,B02,96.34,262,237.96,620.44,1580.6,367.0,0.8391,0.8852,15.54,1,0
IMG-000171,Control,B02,102.72,254,172.99,852.86,1504.1,67.9,0.8637,0.8771,15.29,0,1
IMG-000172,TreatmentB,B03,89.06,266,195.95,715.94,1273.6,719.1,0.8797,0.8539,9.27,0,1
IMG-000173,Control,B02,105.29,222,165.58,713.45,1483.2,226.5,0.7345,0.916,33.85,0,0
IMG-000174,TreatmentB,B02,111.27,248,253.74,660.57,1420.3,697.5,0.7965,0.8018,30.38,0,0
IMG-000175,Control,B02,95.54,241,193.17,772.16,1506.3,79.2,0.6654,0.8608,26.24,0,1
IMG-000176,TreatmentA,B02,89.55,232,230.92,447.07,1256.8,458.3,0.6482,0.9007,5.91,0,1
IMG-000177,TreatmentA,B01,101.16,243,180.1,890.49,1800.3,648.7,0.7973,0.9851,31.63,0,1
IMG-000178,TreatmentA,B03,109.79,226,225.57,933.38,1513.9,428.0,0.9151,0.8832,16.07,1,1
IMG-000179,TreatmentA,B02,115.71,240,149.03,1049.06,877.0,703.0,0.9208,0.9825,19.16,0,0
IMG-000180,TreatmentB,B01,112.19,253,195.48,529.62,1049.3,648.2,0.8366,0.9682,18.84,1,1
IMG-000181,Control,B02,90.27,210,139.58,790.41,1644.7,191.1,0.7295,0.9556,35.19,1,1
IMG-000182,TreatmentB,B02,89.29,244,191.71,991.67,1645.8,759.5,0.8569,0.9234,28.43,1,1
IMG-000183,TreatmentB,B02,101.0,246,210.16,780.75,1330.8,971.3,0.8403,0.839,10.35,0,0
IMG-000184,TreatmentA,B03,115.76,264,218.32,613.66,2139.5,571.5,0.779,0.8289,23.12,1,0
IMG-000185,TreatmentA,B01,98.57,233,197.56,555.7,1438.6,509.7,0.8613,0.9607,22.23,0,1
IMG-000186,TreatmentB,B01,108.53,250,191.58,803.03,1343.5,743.6,0.7882,0.8332,17.64,1,1
IMG-000187,TreatmentA,B01,103.45,240,166.9,525.08,1977.9,515.4,0.702,0.9563,12.15,1,0
IMG-000188,Control,B03,109.0,245,224.1,987.54,1953.7,987.9,0.8338,0.9007,31.77,1,1
IMG-000189,TreatmentA,B01,109.09,234,211.27,553.22,1604.5,348.7,0.8225,0.9581,29.6,0,0
IMG-000190,TreatmentA,B02,96.94,264,173.38,799.51,1220.3,448.2,0.7813,0.8994,10.89,0,0
IMG-000191,Control,B01,108.29,245,205.27,915.78,1589.8,-25.8,0.7205,0.8995,20.8,0,1
IMG-000192,TreatmentA,B03,91.25,242,220.05,427.77,1119.5,403.9,0.9504,0.9114,36.58,0,1
IMG-000193,TreatmentA,B01,131.33,243,197.79,787.99,1473.5,499.2,0.846,0.7749,28.24,0,1
IMG-000194,TreatmentA,B02,108.08,228,105.62,777.47,1141.1,248.6,0.8053,0.8812,17.48,0,0
IMG-000195,TreatmentB,B02,93.61,240,171.23,747.48,1719.5,927.1,0.7951,0.8797,28.86,0,1
