sample_id,group,batch,measure_1,resting_potential_mv,input_resistance_mohm,membrane_tau_ms,rheobase_pa,ap_threshold_mv,ap_half_width_ms,max_firing_rate_hz,spike_count,adaptation_index,target_a,target_b
NEU-000001,TreatmentB,B02,87.36,-73.8,58.9,19.7,55.7,-45.77,0.925,22.6,72,0.381,1,0
NEU-000002,Control,B01,104.72,-61.61,259.1,10.49,158.5,-41.51,0.993,36.4,86,0.4564,0,0
NEU-000003,Control,B01,100.01,-75.93,152.4,21.96,120.1,-52.19,0.769,65.3,80,0.451,0,1
NEU-000004,TreatmentB,B01,113.62,-64.85,171.2,18.83,77.9,-41.68,1.107,67.1,75,0.3489,0,1
NEU-000005,Control,B02,90.61,-67.23,264.0,9.62,130.0,-40.59,0.941,41.4,73,0.4927,0,1
NEU-000006,TreatmentA,B02,94.96,-60.14,372.3,15.46,145.3,-49.23,0.887,49.6,95,0.3668,0,0
NEU-000007,TreatmentA,B03,63.28,-63.42,62.4,14.61,133.7,-33.07,0.633,51.8,82,0.5346,0,1
NEU-000008,TreatmentA,B03,102.88,-58.01,227.4,42.22,123.4,-33.9,1.034,48.2,91,0.4893,1,1
NEU-000009,Control,B02,103.47,-65.88,327.5,11.59,122.5,-36.09,1.424,38.8,87,0.3602,0,1
NEU-000010,TreatmentB,B02,80.31,-71.06,132.6,25.12,85.8,-45.54,1.582,81.4,90,0.5201,1,1
NEU-000011,Control,B02,99.91,-64.07,204.7,14.94,135.6,-38.26,1.195,11.4,92,0.1946,0,1
NEU-000012,Control,B01,96.07,-74.92,206.9,6.69,153.5,-45.47,1.868,30.4,107,0.5237,0,0
NEU-000013,TreatmentA,B02,98.76,-61.4,180.0,10.36,157.5,-34.82,0.963,73.7,89,0.2885,1,1
NEU-000014,TreatmentB,B01,112.77,-60.38,273.9,11.09,116.1,-44.48,0.652,68.4,82,0.4471,1,0
NEU-000015,TreatmentB,B01,119.33,-62.68,283.8,29.46,72.2,-41.93,0.757,58.2,100,0.1054,1,1
NEU-000016,Control,B01,111.62,-69.51,108.5,9.71,67.7,-42.92,0.976,65.5,81,0.238,1,1
NEU-000017,TreatmentA,B03,79.81,-65.88,137.3,3.18,130.6,-41.35,1.813,29.7,99,0.2524,1,1
NEU-000018,Control,B03,115.25,-63.03,230.6,10.67,157.4,-40.54,1.535,37.4,88,0.1301,1,1
NEU-000019,TreatmentB,B03,109.81,-63.17,348.3,26.63,99.6,-41.04,1.09,66.0,102,0.4408,1,1
NEU-000020,Control,B02,97.33,-63.47,431.4,32.55,88.8,-47.85,1.107,30.9,87,0.5254,0,1
NEU-000021,TreatmentA,B03,116.89,-56.2,120.1,12.11,79.9,-47.6,0.783,64.4,84,0.5866,1,0
NEU-000022,TreatmentB,B03,101.73,-60.8,87.7,17.73,72.4,-40.53,1.251,63.4,90,0.5818,1,1
NEU-000023,TreatmentA,B02,97.3,-69.58,121.8,10.24,127.9,-38.8,1.473,36.2,100,0.6042,1,0
