sample_id,group,batch,measure_1,tx_count_total,genes_detected,mito_fraction,ribo_fraction,mean_gc_percent,duplication_rate,median_tx_length,counts_gene_of_interest,target_a,target_b
GEN-000001,TreatmentB,B03,85.29,1567862,16719,0.005,0.2611,44.3,0.0822,1493,949,1,0
GEN-000002,TreatmentB,B01,87.7,1828446,12498,0.0726,0.166,46.68,0.1564,1345,617,1,1
GEN-000003,TreatmentA,B02,95.79,4657831,14262,0.0151,0.1401,47.78,0.3001,2057,252,1,1
GEN-000004,Control,B03,87.73,783368,12597,0.0401,0.1013,45.94,0.0958,1676,755,1,1
GEN-000005,TreatmentB,B02,116.44,2370677,16656,0.0451,0.1318,41.79,0.3115,838,482,0,0
GEN-000006,TreatmentB,B02,127.52,865155,12469,0.0272,0.1288,43.7,0.158,2481,628,1,0
GEN-000007,TreatmentB,B02,94.76,1734992,14190,0.0162,0.1893,48.28,0.1254,2092,872,1,0
GEN-000008,Control,B01,86.08,514749,13477,0.0234,0.1523,40.94,0.1476,1599,23,0,1
GEN-000009,TreatmentA,B01,118.23,3046589,16342,0.0591,0.2058,44.55,0.1452,1823,188,0,0
GEN-000010,TreatmentA,B02,94.63,1712961,13655,0.048,0.064,45.93,0.1598,4252,723,1,1
GEN-000011,TreatmentB,B01,80.48,516942,14400,0.0926,0.1686,41.76,0.1437,987,328,0,0
GEN-000012,TreatmentA,B03,83.69,2206204,15264,0.0345,0.1406,49.94,0.334,2297,177,0,0
GEN-000013,TreatmentA,B02,77.43,4360695,13667,0.0662,0.0915,45.3,0.1517,1667,713,0,1
GEN-000014,TreatmentB,B01,79.71,2085153,13188,0.036,0.1228,45.23,0.2693,2578,561,1,1
GEN-000015,Control,B03,89.95,2940335,12951,0.0143,0.0509,47.54,0.1649,1773,470,0,1
GEN-000016,TreatmentB,B01,81.92,2685491,13892,0.0032,0.1721,48.05,0.2223,1505,289,0,1
GEN-000017,Control,B02,104.21,1178939,11749,0.0067,0.1747,47.16,0.1443,2402,-212,0,1
GEN-000018,Control,B01,94.82,2879140,10967,0.0224,0.1318,48.41,0.4314,2868,146,0,0
GEN-000019,Control,B02,77.84,1721409,9886,0.0759,0.1143,49.34,0.1089,4117,-96,0,1
GEN-000020,TreatmentA,B03,97.55,902583,14110,0.0817,0.0544,48.05,0.2335,2160,735,1,0
GEN-000021,Control,B03,91.81,2988261,16346,0.0253,0.1549,44.35,0.149,962,375,1,1
GEN-000022,Control,B01,122.37,2993180,12016,0.139,0.0414,43.68,0.264,1109,-126,0,0
GEN-000023,TreatmentA,B02,109.08,1187657,14383,0.0552,0.1488,47.13,0.0824,1842,507,1,1
GEN-000024,TreatmentA,B02,101.96,1632927,16045,0.0668,0.2316,46.24,0.1263,2407,489,0,0
GEN-000025,Control,B03,107.89,1687076,14473,0.0605,0.1426,50.07,0.2325,1456,109,0,0
GEN-000026,TreatmentB,B01,93.11,766276,14925,0.0101,0.1279,46.91,0.1451,996,483,1,1
GEN-000027,TreatmentB,B01,98.61,3137025,19072,0.0362,0.1006,46.8,0.1331,1575,404,1,1
