sample_id,group,batch,measure_1,nuclei_count,mean_nuclear_area,mean_cell_area,mean_intensity_dapi,mean_intensity_gfp,nuclear_circularity,fraction_in_focus,background_sd,target_a,target_b
IMG-500129,Control,B02,74.63,225,171.47,887.51,1424.9,135.2,0.74,0.7789,23.45,0,0
IMG-507738,Control,B02,93.1,208,196.55,875.88,1257.1,527.8,0.6878,0.8957,16.22,0,0
IMG-501541,TreatmentB,B03,98.04,250,190.29,1047.03,1140.9,1231.5,0.8343,0.8301,14.54,1,0
IMG-504864,TreatmentA,B01,57.88,236,164.72,854.44,1376.9,545.1,0.9147,0.9082,40.17,0,1
IMG-505549,Control,B01,112.69,250,206.68,690.66,1476.6,115.0,0.8972,0.9275,23.55,0,1
IMG-506854,Control,B02,84.13,229,188.82,875.53,1103.9,187.6,0.7409,0.9297,18.95,0,0
IMG-506729,Control,B02,92.93,248,175.76,705.36,1075.7,267.3,0.6946,0.9857,52.87,1,1
IMG-501346,TreatmentA,B02,107.19,240,192.16,978.52,1425.8,787.4,0.6059,0.9223,39.05,1,1
IMG-506778,TreatmentA,B01,80.78,223,139.76,629.28,1857.7,650.2,0.691,0.943,26.62,1,0
IMG-507995,Control,B01,83.9,255,193.82,798.05,1507.3,247.5,0.8833,0.9723,33.74,0,1
IMG-503427,TreatmentB,B02,115.31,226,209.24,912.77,986.9,2150.0,0.9315,0.8982,15.48,1,0
IMG-503484,TreatmentB,B01,108.13,247,214.69,585.22,1370.4,815.2,0.8842,0.7828,13.72,0,1
IMG-500655,Control,B02,99.35,241,188.26,767.37,1257.0,200.6,0.748,0.8304,24.97,0,0
IMG-502598,TreatmentB,B01,92.68,272,176.02,594.07,1470.3,706.5,0.8422,0.8608,36.11,1,0
IMG-507746,Control,B03,80.26,194,188.74,722.82,1594.7,261.4,0.8013,0.9549,22.07,0,0
IMG-502583,TreatmentA,B01,82.15,246,237.24,727.71,1611.2,316.6,0.7892,0.8896,14.02,0,0
IMG-508856,TreatmentA,B01,104.22,247,206.77,632.59,1356.7,552.8,0.9334,0.8019,59.06,0,1
IMG-507989,TreatmentA,B02,108.96,233,163.12,570.85,1762.2,672.1,0.7427,0.8438,29.66,0,1
IMG-501513,TreatmentB,B01,81.53,223,132.67,766.19,1645.1,1256.9,0.6509,0.8614,18.54,0,1
IMG-506186,TreatmentA,B02,114.04,229,198.12,1110.05,1336.4,607.8,0.7413,0.7687,52.36,0,1
IMG-503130,TreatmentA,B03,97.35,249,210.61,875.06,1248.4,828.0,0.7243,0.7908,22.9,0,1
IMG-509728,Control,B01,109.19,217,166.56,573.94,1536.8,215.1,0.8085,0.7331,24.54,0,1
IMG-506400,TreatmentB,B02,116.3,261,227.9,756.68,2252.7,636.6,0.8029,0.9354,18.08,1,0
IMG-507535,TreatmentA,B01,79.72,243,172.52,442.74,1357.4,789.6,0.6777,0.9389,37.96,0,1
IMG-506288,TreatmentB,B02,112.83,258,212.5,737.5,1540.0,1053.2,0.7533,0.9736,17.56,1,1
IMG-504975,TreatmentB,B02,100.86,246,217.96,515.52,1399.3,1324.1,0.7157,0.8825,26.07,1,1
