sample_id,role,colony,body_mass_g,age_months,resting_metabolic_rate,body_temp_c,hypoxia_survival_min,hyaluronan_mda,cortisol_ng_ml,incisor_wear_score,chirps_per_hour,grooming_events_day,telomere_length_kb,target_a,target_b
NMR-000001,Soldier,Colony-E,30.5,54,0.166,31.5,5.1,7.31,22.94,0.172,15,10,20.41,1,0
NMR-000002,Worker,Colony-D,21.6,70,0.197,32.2,13.1,5.81,18.43,0.165,28,9,15.98,0,1
NMR-000003,Worker,Colony-B,35.9,29,0.346,31.8,24.7,7.33,15.04,0.244,23,7,19.13,0,1
NMR-000004,Soldier,Colony-D,31.0,75,0.353,32.5,12.9,6.02,9.81,0.317,25,11,17.72,0,1
NMR-000005,Worker,Colony-B,28.8,61,0.238,32.3,15.6,6.71,11.53,0.228,22,12,23.53,1,1
NMR-000006,Soldier,Colony-C,19.2,68,0.254,32.6,30.7,7.69,7.63,0.105,31,7,24.62,1,1
NMR-000007,Soldier,Colony-B,25.8,67,0.204,31.9,41.8,5.45,18.42,0.18,18,16,20.02,1,0
NMR-000008,Worker,Colony-A,24.3,19,0.317,33.3,7.4,5.8,11.17,0.192,36,6,21.57,0,1
NMR-000009,Soldier,Colony-B,26.9,81,0.236,31.9,13.5,5.21,17.52,0.431,30,11,17.94,1,0
NMR-000010,Worker,Colony-A,31.6,58,0.233,33.2,34.4,6.34,15.85,0.271,25,12,20.98,1,0
NMR-000011,Soldier,Colony-D,30.4,43,0.194,32.3,11.5,6.94,11.96,0.231,27,11,17.01,0,1
NMR-000012,Worker,Colony-A,30.2,51,0.184,32.2,27.1,5.95,30.17,0.133,23,19,20.88,0,1
NMR-000013,Breeder,Colony-B,41.0,51,0.319,31.0,24.5,7.04,10.53,0.39,21,14,12.34,1,0
NMR-000014,Breeder,Colony-B,39.2,62,0.366,32.9,17.4,6.59,21.96,0.436,20,8,25.65,1,1
NMR-000015,Worker,Colony-A,37.2,35,0.169,31.8,16.7,8.56,11.97,0.201,27,8,20.68,1,0
NMR-000016,Worker,Colony-C,34.4,104,0.335,33.3,38.7,5.83,13.18,0.194,36,13,20.97,1,0
NMR-000017,Soldier,Colony-A,30.0,72,0.236,32.7,18.2,6.27,6.09,0.417,24,15,15.65,1,0
NMR-000018,Worker,Colony-C,23.8,83,0.23,33.3,18.3,6.92,14.35,0.254,21,5,20.42,1,0
NMR-000019,Soldier,Colony-E,36.6,71,0.182,32.5,12.8,7.66,16.94,0.353,21,10,19.36,0,1
NMR-000020,Worker,Colony-D,28.8,29,0.197,31.9,12.2,7.56,16.25,0.32,35,11,25.82,1,0
NMR-000021,Worker,Colony-A,23.0,52,0.263,32.3,13.2,8.38,15.06,0.36,22,11,12.25,0,1
NMR-000022,Soldier,Colony-C,31.1,44,0.248,32.4,45.6,5.66,12.78,0.275,33,15,17.27,1,1
NMR-000023,Breeder,Colony-C,36.8,17,0.242,31.2,25.2,7.62,10.9,0.605,25,6,20.57,1,0
