sample_id,group,batch,measure_1,tx_count_total,genes_detected,mito_fraction,ribo_fraction,mean_gc_percent,duplication_rate,median_tx_length,counts_gene_of_interest,target_a,target_b
GEN-000001,TreatmentB,B03,103.87,1806525,15610,0.0233,0.0888,45.93,0.2249,1254,631,1,0
GEN-000002,Control,B02,126.78,189027,14351,0.0303,0.0361,51.31,0.108,3063,175,1,1
GEN-000003,TreatmentB,B01,106.54,2112012,17679,0.0305,0.1908,45.75,0.1677,755,1062,1,1
GEN-000004,TreatmentB,B01,94.85,1086207,15909,0.0268,0.2032,42.44,0.1345,978,803,1,0
GEN-000005,Control,B02,99.73,1920401,13268,0.0444,0.064,48.45,0.0707,1264,280,0,1
GEN-000006,TreatmentA,B03,78.82,1595927,21016,0.0287,0.1876,49.94,0.0612,2250,573,1,0
GEN-000007,Control,B02,95.15,3439893,13617,0.0758,0.0681,46.7,0.2764,972,211,1,0
GEN-000008,Control,B02,101.49,3179610,12614,0.0534,0.0562,45.12,0.1606,1547,-111,0,1
GEN-000009,TreatmentA,B03,110.04,632452,10548,0.0773,0.214,44.46,0.042,2143,273,0,0
GEN-000010,TreatmentB,B02,81.48,1124651,16422,0.043,0.1459,46.86,0.1302,1487,1089,1,1
GEN-000011,TreatmentB,B02,104.57,901431,14213,0.1992,0.1797,49.71,0.0465,1227,771,0,0
GEN-000012,Control,B01,100.32,711674,13624,0.0211,0.1861,47.36,0.1871,1183,6,0,1
GEN-000013,Control,B03,91.04,1986688,12861,0.0951,0.2261,41.31,0.2999,1675,572,1,0
GEN-000014,TreatmentA,B03,104.81,894951,14770,0.0157,0.2459,47.25,0.3317,1570,428,0,1
GEN-000015,TreatmentB,B01,131.9,2915374,15291,0.0295,0.1279,47.85,0.097,1318,471,1,1
GEN-000016,Control,B02,105.32,853904,12708,0.0412,0.2124,43.95,0.1765,710,464,1,1
GEN-000017,TreatmentB,B02,93.64,906672,16940,0.0246,0.1562,47.68,0.2692,2049,558,1,1
GEN-000018,TreatmentB,B03,81.83,1669335,12939,0.0592,0.1863,44.67,0.2717,1343,374,0,1
GEN-000019,TreatmentB,B03,90.85,3050992,16072,0.0632,0.0946,47.12,0.2625,779,765,0,0
GEN-000020,Control,B02,97.25,2821379,17975,0.0177,0.0953,41.23,0.2404,1840,957,1,0
GEN-000021,TreatmentB,B01,84.1,1938313,11749,0.0276,0.0388,44.62,0.0802,2454,729,0,1
GEN-000022,TreatmentA,B02,101.77,216410,17678,0.0306,0.1141,45.83,0.0871,1582,209,1,1
GEN-000023,Control,B02,139.55,1292712,16185,0.0294,0.1995,47.73,0.2171,1113,1498,1,1
GEN-000024,TreatmentB,B01,91.16,2332922,13851,0.0417,0.1796,46.05,0.1919,1877,1254,1,1
