sample_id,group,batch,measure_1,resolution_ang,r_free,chain_length_aa,molecular_weight_kda,fraction_helix,fraction_sheet,mean_b_factor,radius_gyration_ang,ligand_count,isoelectric_point,target_a,target_b
STR-000001,TreatmentB,B03,119.98,3.2,0.2475,66,68.35,0.4988,0.1028,14.35,25.58,4,6.34,0,1
STR-000002,Control,B02,116.5,3.02,0.2111,409,55.95,0.4834,0.2898,63.63,34.66,3,6.52,0,1
STR-000003,TreatmentB,B01,127.2,1.35,0.255,394,40.2,0.3417,0.1787,33.84,32.58,3,7.06,1,1
STR-000004,TreatmentB,B03,83.92,1.44,0.2219,348,34.7,0.3546,0.2673,23.33,22.97,4,6.49,1,1
STR-000005,TreatmentA,B01,82.09,2.44,0.2006,325,70.89,0.7579,0.2993,34.47,27.01,2,6.56,0,1
STR-000006,Control,B03,139.15,1.96,0.1832,336,44.77,0.1325,0.2243,27.21,22.38,3,7.57,1,1
STR-000007,TreatmentB,B01,117.15,1.45,0.2243,239,50.78,0.3559,0.56,17.67,15.26,5,5.9,1,0
STR-000008,TreatmentA,B01,130.64,1.2,0.3111,215,36.14,0.3314,0.2575,25.58,36.3,2,7.25,0,1
STR-000009,Control,B03,80.12,2.6,0.2376,126,29.38,0.5485,0.0919,74.06,23.24,0,7.24,0,0
STR-000010,Control,B03,96.49,1.85,0.185,635,29.64,0.4987,0.4338,41.24,27.21,2,5.75,1,1
STR-000011,Control,B01,103.36,2.0,0.275,226,36.07,0.2254,0.6863,58.05,15.96,3,9.13,0,0
STR-000012,TreatmentA,B03,94.37,2.42,0.234,250,36.21,0.6049,0.1066,30.16,17.43,3,5.49,1,0
STR-000013,Control,B02,95.84,2.22,0.2145,161,55.82,0.5975,0.3114,47.88,24.8,3,8.81,0,0
STR-000014,Control,B03,112.67,1.75,0.2174,532,66.23,0.2696,0.3139,43.46,12.81,3,5.27,1,0
STR-000015,TreatmentA,B01,99.74,1.54,0.2743,161,18.97,0.3164,0.522,57.06,36.05,3,6.9,1,0
STR-000016,Control,B01,60.38,2.48,0.259,121,117.49,0.4178,0.2422,78.33,26.35,2,7.37,0,1
STR-000017,Control,B03,93.86,3.41,0.2413,308,21.4,0.3584,0.1765,61.17,21.26,0,7.74,0,0
STR-000018,Control,B02,118.63,2.33,0.168,199,24.35,0.3883,0.4217,76.9,25.33,3,8.44,0,0
STR-000019,TreatmentA,B02,111.01,2.23,0.1949,325,23.28,0.4878,0.4217,40.5,20.97,5,7.2,0,0
STR-000020,TreatmentA,B03,103.92,1.72,0.2432,265,30.63,0.4227,0.1499,31.01,24.39,3,9.28,0,0
STR-000021,Control,B03,81.23,5.42,0.2634,656,23.47,0.5402,0.1503,34.65,29.43,1,7.92,0,0
STR-000022,TreatmentA,B03,95.02,1.42,0.1742,337,54.32,0.4397,0.3394,33.16,26.24,1,6.55,1,1
STR-000023,TreatmentB,B02,87.55,1.38,0.2476,110,24.26,0.6724,0.3127,10.51,15.8,3,8.2,1,1
STR-000024,Control,B02,102.23,3.25,0.1753,405,40.46,0.5658,0.5389,68.36,30.18,2,5.27,0,1
STR-000025,Control,B02,109.55,2.21,0.1944,710,37.53,0.5598,0.371,30.18,32.61,3,3.45,0,1
STR-000026,TreatmentB,B03,110.2,1.91,0.2587,284,35.16,0.2495,0.309,13.62,29.24,4,7.94,0,0
STR-000027,TreatmentA,B02,117.27,1.72,0.2717,273,49.15,0.3867,0.0819,37.1,34.18,4,8.99,0,1
STR-000028,Control,B02,89.75,3.59,0.1719,128,46.2,0.6349,0.2202,48.06,26.88,2,7.32,0,0
STR-000029,TreatmentA,B03,79.38,1.64,0.2526,171,21.74,0.5496,0.2645,22.95,26.95,2,6.67,0,1
STR-000030,TreatmentB,B02,101.78,1.47,0.2256,236,29.25,0.3792,0.2444,34.85,27.61,1,8.07,1,1
STR-000031,Control,B03,98.81,3.45,0.1983,343,80.64,0.5646,0.3943,37.84,26.92,4,6.63,0,1
STR-000032,TreatmentB,B01,104.21,1.43,0.196,197,40.01,0.3002,0.1107,54.4,18.76,1,5.28,1,1
STR-000033,Control,B02,89.07,1.98,0.2452,125,87.51,0.6712,0.1954,46.34,14.27,1,6.85,1,0
STR-000034,TreatmentA,B03,91.59,1.73,0.2217,1318,34.66,0.1507,0.4472,8.59,13.95,0,6.13,1,0
STR-000035,TreatmentB,B02,100.1,1.75,0.2227,278,33.32,0.4576,0.6232,34.68,31.03,4,5.57,1,0
STR-000036,Control,B03,99.25,2.97,0.225,221,16.38,0.5986,0.3981,65.18,25.01,4,10.23,0,0
STR-000037,Control,B02,85.78,2.64,0.2702,181,7.61,0.3436,0.3357,42.8,28.77,0,6.96,0,1
STR-000038,Control,B01,97.72,1.57,0.2678,259,22.99,0.5268,0.4772,28.88,26.6,4,8.46,1,0
STR-000039,Control,B02,103.7,1.8,0.2434,202,19.75,0.2915,0.1194,52.89,26.81,2,9.46,0,1
STR-000040,Control,B03,122.17,2.38,0.2307,330,34.45,0.4506,0.2622,56.42,14.48,4,6.72,0,1
STR-000041,Control,B01,96.3,2.31,0.2805,211,127.99,0.3555,0.6417,33.2,29.43,2,4.94,1,0
STR-000042,TreatmentA,B03,104.12,2.15,0.2531,247,97.84,0.2396,0.4546,35.61,15.01,5,8.46,0,0
STR-000043,TreatmentA,B01,62.93,2.04,0.2316,276,49.97,0.5858,0.4198,33.48,23.94,1,8.81,1,1
STR-000044,TreatmentB,B02,88.86,1.74,0.2644,717,16.47,0.4387,0.1251,30.38,32.47,4,5.71,0,1
STR-000045,TreatmentB,B02,79.47,1.07,0.2233,447,115.0,0.5457,0.3725,10.52,29.76,2,9.19,1,0
STR-000046,TreatmentB,B02,110.4,1.48,0.2027,697,16.48,0.1293,0.2718,14.67,15.72,4,5.6,1,1
STR-000047,Control,B01,88.2,3.71,0.172,462,39.25,0.3451,0.3017,69.8,28.32,0,9.19,0,0
STR-000048,Control,B01,93.8,4.2,0.264,175,19.36,0.3787,0.1809,73.52,26.66,2,7.49,0,1
STR-000049,TreatmentB,B03,74.86,2.99,0.2336,153,30.06,0.5721,0.3432,25.7,17.97,3,7.03,0,1
STR-000050,Control,B01,86.44,2.73,0.234,261,15.53,0.6131,0.5859,44.88,26.35,1,8.31,0,1
STR-000051,Control,B01,100.75,2.09,0.2872,411,34.69,0.3472,0.3002,55.94,34.3,0,9.28,0,1
STR-000052,TreatmentA,B01,129.41,1.78,0.2138,217,25.83,0.2201,0.2873,43.56,32.43,4,5.26,1,0
STR-000053,TreatmentA,B01,120.23,2.48,0.2155,86,44.04,0.215,0.3206,62.62,28.42,1,8.34,0,0
STR-000054,TreatmentA,B03,115.69,2.07,0.2707,336,43.53,0.3955,0.352,29.03,28.31,3,8.87,0,0
STR-000055,Control,B03,87.09,1.68,0.2665,288,27.81,0.7333,0.4773,33.36,24.9,1,7.57,1,1
STR-000056,Control,B02,117.84,6.04,0.2423,212,49.54,0.2185,0.1571,40.05,42.99,2,8.62,0,1
STR-000057,TreatmentB,B03,136.02,2.94,0.2311,287,15.41,0.6194,0.1741,48.06,33.64,3,8.69,0,0
STR-000058,TreatmentA,B01,106.08,2.41,0.246,169,59.92,0.143,0.1472,46.93,20.09,1,7.41,0,1
STR-000059,TreatmentB,B01,103.35,1.51,0.2234,226,30.61,0.6907,0.2482,40.39,25.1,1,7.68,0,0
STR-000060,TreatmentB,B02,113.7,1.79,0.2549,257,28.54,0.1823,0.3704,14.77,38.08,2,6.28,0,0
STR-000061,TreatmentB,B01,110.4,0.98,0.2579,159,29.54,0.6402,0.4655,3.84,22.1,1,6.51,1,1
STR-000062,TreatmentB,B01,97.57,1.21,0.1735,721,16.19,0.6405,0.4971,13.43,19.74,2,6.98,1,1
STR-000063,TreatmentA,B02,100.43,2.27,0.2363,190,21.64,0.4546,0.1582,18.04,25.68,2,8.25,1,0
STR-000064,TreatmentB,B03,93.74,1.95,0.2208,439,12.17,0.3487,0.2461,18.91,13.72,1,6.97,1,1
STR-000065,TreatmentA,B03,101.89,2.27,0.2657,743,73.52,0.3515,0.3454,38.74,34.85,4,7.94,0,0
STR-000066,Control,B02,117.74,2.13,0.2797,369,20.97,0.3748,0.2021,28.26,29.05,2,5.24,1,0
STR-000067,TreatmentA,B03,101.58,2.4,0.1969,206,39.54,0.412,0.5261,50.38,22.03,1,6.26,1,1
STR-000068,TreatmentA,B03,93.32,2.64,0.1997,208,33.89,0.3907,0.4026,55.95,19.3,3,6.14,0,0
STR-000069,TreatmentA,B02,103.97,1.77,0.2685,365,38.57,0.277,0.2585,31.36,34.94,0,6.35,0,1
STR-000070,TreatmentB,B01,103.86,2.3,0.23,101,10.73,0.2644,0.4093,13.94,22.6,1,7.7,0,1
STR-000071,TreatmentA,B01,111.51,2.77,0.3011,442,21.18,0.3676,0.1398,45.27,18.95,3,5.28,0,0
STR-000072,TreatmentB,B02,108.36,2.1,0.2637,98,38.41,0.5156,0.314,30.71,25.77,0,10.12,0,0
STR-000073,TreatmentB,B01,104.74,1.34,0.2616,204,28.82,0.2464,0.2746,37.37,31.8,1,8.6,0,0
STR-000074,Control,B03,81.28,3.05,0.1764,114,20.02,0.3998,0.3298,28.69,34.6,3,7.82,1,0
STR-000075,TreatmentA,B02,84.69,1.79,0.22,752,19.58,0.16,0.3889,33.5,26.54,3,5.72,1,0
STR-000076,Control,B01,79.41,2.56,0.254,627,37.29,0.5074,0.0828,38.78,20.5,3,4.38,0,0
STR-000077,Control,B03,85.03,2.49,0.2336,496,50.53,0.5606,0.3036,45.53,31.23,1,7.1,0,1
STR-000078,TreatmentA,B01,103.41,1.72,0.2663,453,34.35,0.5266,0.2373,44.57,31.06,6,8.38,1,0
STR-000079,Control,B01,82.27,2.06,0.1713,296,55.56,0.3949,0.3329,38.94,19.45,4,6.03,1,1
STR-000080,TreatmentB,B02,104.62,2.02,0.2563,257,20.59,0.3682,0.1347,39.31,9.95,1,5.22,0,0
STR-000081,TreatmentA,B01,88.94,2.42,0.2836,158,22.91,0.3459,0.4845,14.34,21.14,2,8.88,1,0
STR-000082,TreatmentB,B03,91.94,2.53,0.1979,245,15.56,0.4383,0.3789,23.55,27.71,7,7.2,0,1
STR-000083,TreatmentB,B02,117.61,1.09,0.2297,284,75.1,0.5349,0.2779,28.19,27.34,2,5.56,1,0
STR-000084,TreatmentA,B01,98.8,1.06,0.2345,553,14.23,0.464,0.2752,48.01,34.64,7,6.32,1,1
STR-000085,Control,B01,90.58,2.05,0.2435,203,24.24,0.6185,0.3622,112.31,25.07,0,5.68,0,1
STR-000086,Control,B01,83.9,2.15,0.2528,435,49.39,0.5429,0.1935,27.77,25.62,4,10.84,1,0
STR-000087,TreatmentA,B02,93.96,1.33,0.2049,216,20.63,0.3251,0.1256,26.58,25.6,2,7.53,1,1
STR-000088,TreatmentB,B03,123.88,1.72,0.2513,112,61.74,0.5502,0.4167,11.09,21.86,2,7.5,1,1
STR-000089,Control,B03,113.91,2.29,0.2565,135,39.16,0.7278,0.1839,52.86,37.39,6,6.18,0,0
STR-000090,TreatmentB,B03,84.21,1.45,0.3223,218,63.41,0.499,0.1559,7.36,18.27,1,4.17,0,0
STR-000091,TreatmentA,B01,110.51,3.12,0.2611,129,16.92,0.2758,0.2332,31.56,19.2,3,9.51,0,0
STR-000092,Control,B03,85.41,2.57,0.2433,147,36.28,0.6738,0.239,61.28,24.66,5,6.04,0,0
STR-000093,Control,B02,110.87,1.2,0.1626,175,7.66,0.3021,0.2072,48.31,25.12,1,9.21,1,0
STR-000094,TreatmentB,B03,115.38,0.77,0.221,520,14.12,0.3972,0.195,14.4,28.45,3,7.66,1,0
STR-000095,TreatmentA,B02,104.18,1.82,0.2145,716,31.49,0.5206,0.1431,48.09,20.96,4,4.19,1,0
STR-000096,Control,B03,106.71,1.97,0.2314,147,17.88,0.8393,0.2382,53.16,21.39,3,6.62,0,0
STR-000097,TreatmentA,B03,97.41,1.33,0.2646,534,44.97,0.5573,0.4345,26.43,29.89,3,8.85,0,1
