sample_id,group,batch,measure_1,resolution_ang,r_free,chain_length_aa,molecular_weight_kda,fraction_helix,fraction_sheet,mean_b_factor,radius_gyration_ang,ligand_count,isoelectric_point,target_a,target_b
STR-000001,TreatmentA,B03,91.93,1.58,0.2091,125,27.04,0.5665,0.1373,28.66,22.03,3,6.36,1,0
STR-000002,TreatmentA,B03,84.93,2.08,0.2802,195,83.84,0.2898,0.0911,43.77,29.23,3,5.86,0,1
STR-000003,TreatmentA,B02,93.13,1.95,0.2562,322,9.53,0.3932,0.5823,29.12,22.87,3,5.46,1,1
STR-000004,TreatmentB,B01,84.06,0.82,0.2515,236,14.61,0.4754,0.283,29.16,19.65,1,7.18,1,1
STR-000005,TreatmentB,B01,110.97,1.59,0.2612,569,96.4,0.2021,0.2004,25.26,25.02,0,4.28,1,1
STR-000006,Control,B03,119.36,1.65,0.261,528,56.43,0.4107,0.304,69.57,29.95,0,8.1,0,1
STR-000007,TreatmentA,B02,100.8,1.92,0.1626,187,11.11,0.356,0.478,27.02,30.87,3,7.39,1,1
STR-000008,TreatmentA,B03,89.08,1.8,0.1739,300,36.61,0.7071,0.3968,29.65,25.71,0,7.18,1,1
STR-000009,TreatmentB,B01,79.01,1.96,0.1926,725,40.23,0.4031,0.1581,12.48,31.69,4,7.99,1,0
STR-000010,TreatmentB,B01,86.94,0.94,0.2284,329,39.05,0.1916,0.3291,6.64,19.19,1,7.17,1,0
STR-000011,TreatmentA,B03,95.26,1.45,0.2299,186,48.73,0.4788,0.1246,26.43,23.34,1,6.22,1,0
STR-000012,TreatmentA,B03,117.64,1.64,0.2739,105,20.07,0.2654,0.4729,59.45,17.93,0,4.41,0,0
STR-000013,TreatmentB,B03,121.71,1.82,0.2731,428,39.34,0.4223,0.6663,12.32,23.46,3,7.92,0,1
STR-000014,TreatmentA,B01,116.43,2.34,0.2467,1424,108.36,0.4542,0.269,15.39,34.89,1,7.09,1,0
STR-000015,TreatmentA,B02,103.86,1.45,0.2321,195,37.59,0.2285,0.1385,29.59,18.99,2,5.81,0,1
STR-000016,Control,B01,94.87,2.93,0.2157,244,24.92,0.23,0.3587,107.44,32.8,2,6.15,0,1
STR-000017,TreatmentA,B01,117.74,1.76,0.2141,355,57.55,0.6843,0.3054,30.22,26.85,1,4.85,1,0
STR-000018,TreatmentB,B03,73.5,1.66,0.2482,102,18.38,0.3533,0.3219,34.02,17.33,2,5.34,1,0
STR-000019,TreatmentB,B02,88.28,1.33,0.2257,204,22.52,0.5947,0.4137,10.69,22.4,2,5.36,0,0
STR-000020,TreatmentB,B03,97.36,1.89,0.3043,436,26.64,0.4866,0.3169,67.7,28.92,6,4.23,0,0
STR-000021,TreatmentA,B01,120.7,1.67,0.3115,208,31.15,0.3003,0.1822,27.99,9.64,3,6.37,1,1
STR-000022,TreatmentA,B03,104.29,2.95,0.2034,432,21.22,0.3235,0.2047,46.87,18.08,0,8.18,0,1
STR-000023,TreatmentB,B03,95.15,1.77,0.274,183,15.53,0.3247,0.378,19.71,22.98,3,8.07,1,0
STR-000024,Control,B02,100.01,2.42,0.254,201,20.58,0.3968,0.4625,48.16,27.51,1,8.96,1,0
STR-000025,TreatmentA,B03,75.68,1.97,0.2847,230,32.54,0.6459,0.2853,35.14,26.42,5,7.02,1,0
STR-000026,TreatmentA,B02,108.34,3.78,0.2876,564,26.42,0.5665,0.2493,22.03,25.58,4,7.47,0,0
STR-000027,Control,B02,122.45,2.81,0.2487,687,19.53,0.4354,0.2778,51.34,17.36,4,5.87,0,0
STR-000028,Control,B03,98.94,2.58,0.2796,207,18.44,0.3482,0.3083,61.28,23.3,0,6.45,1,1
STR-000029,TreatmentA,B03,100.6,1.94,0.2401,678,70.91,0.5807,0.1414,27.17,20.73,3,6.4,0,0
STR-000030,TreatmentB,B02,105.16,1.84,0.1981,232,38.88,0.3663,0.2499,27.99,28.84,1,7.33,0,1
STR-000031,TreatmentA,B02,82.78,1.23,0.2605,144,20.84,0.547,0.3551,28.86,22.81,3,4.76,0,1
STR-000032,TreatmentB,B03,96.97,1.3,0.2934,455,56.09,0.6877,0.3151,36.85,28.64,1,5.24,1,1
STR-000033,Control,B03,87.43,4.52,0.2105,628,27.62,0.274,0.147,38.12,22.06,2,7.27,0,1
STR-000034,Control,B02,108.27,2.68,0.205,150,32.72,0.4228,0.2328,43.19,21.31,2,5.54,1,0
STR-000035,TreatmentA,B03,107.87,1.56,0.2803,119,26.31,0.422,0.3213,83.99,20.24,5,7.0,0,1
STR-000036,Control,B02,98.46,2.81,0.2213,226,50.04,0.2614,0.1392,55.25,28.9,0,4.54,0,0
STR-000037,TreatmentB,B02,132.46,1.86,0.2375,87,78.25,0.7216,0.2986,78.14,17.13,2,5.0,1,0
STR-000038,Control,B03,84.9,2.67,0.2126,187,23.81,0.3569,0.2744,19.57,24.46,5,8.51,0,0
STR-000039,Control,B03,99.99,3.08,0.2716,336,32.15,0.4583,0.5715,41.79,24.48,4,6.53,0,1
STR-000040,Control,B03,138.01,2.78,0.2762,203,41.76,0.5493,0.2526,94.35,20.33,2,7.39,0,1
STR-000041,Control,B01,118.14,2.54,0.2459,598,39.8,0.4866,0.3595,65.32,20.97,5,9.48,0,0
STR-000042,TreatmentA,B03,107.93,1.82,0.2497,327,40.55,0.3026,0.228,21.04,24.04,3,7.04,1,1
STR-000043,Control,B02,100.39,1.67,0.2418,201,74.33,0.4762,0.2436,54.32,28.74,1,9.07,0,0
STR-000044,Control,B01,106.6,1.63,0.2785,74,30.81,0.2939,0.3808,59.22,16.69,0,7.78,0,0
STR-000045,TreatmentB,B01,79.72,2.46,0.2384,256,46.48,0.5737,0.2779,27.81,28.17,3,8.31,1,0
STR-000046,Control,B03,82.92,3.5,0.2457,233,47.42,0.5613,0.2574,79.68,22.78,4,7.85,0,1
STR-000047,TreatmentA,B03,97.48,1.62,0.2136,496,15.53,0.2206,0.2506,46.33,26.11,4,6.1,1,1
STR-000048,TreatmentB,B02,78.68,1.69,0.2488,235,32.96,0.5221,0.109,35.25,32.47,6,6.52,0,0
STR-000049,TreatmentB,B03,126.66,1.07,0.2077,622,49.51,0.2082,0.5538,21.55,20.9,1,4.53,1,0
STR-000050,Control,B01,86.55,2.27,0.2659,527,58.23,0.6085,0.1652,66.79,18.68,5,7.71,0,0
