sample_id,role,colony,body_mass_g,age_months,resting_metabolic_rate,body_temp_c,hypoxia_survival_min,hyaluronan_mda,cortisol_ng_ml,incisor_wear_score,chirps_per_hour,grooming_events_day,telomere_length_kb,target_a,target_b
NMR-504413,Breeder,Colony-E,36.5,19,0.463,32.6,47.8,7.81,3.19,0.48,25,10,19.2,1,0
NMR-504972,Worker,Colony-E,25.6,79,0.137,31.3,14.5,6.8,6.2,0.255,32,8,18.18,0,0
NMR-504625,Worker,Colony-A,26.9,79,0.292,31.7,10.1,5.84,8.47,0.446,23,11,22.47,0,0
NMR-502186,Worker,Colony-A,22.0,36,0.229,32.7,25.1,7.09,10.5,0.119,26,12,16.07,1,0
NMR-509858,Worker,Colony-A,23.8,39,0.262,31.0,9.9,6.31,16.81,0.357,23,16,24.88,1,0
NMR-504354,Soldier,Colony-C,37.5,59,0.214,31.4,15.1,6.67,11.37,0.483,18,12,24.12,1,0
NMR-500585,Soldier,Colony-B,37.2,38,0.218,30.4,15.3,5.39,20.47,0.355,28,6,25.13,1,1
NMR-508530,Breeder,Colony-B,37.5,71,0.185,31.4,17.8,7.36,4.76,0.477,19,10,22.21,1,1
NMR-505002,Worker,Colony-C,35.8,48,0.428,33.5,31.5,7.44,9.36,0.227,23,10,20.72,1,0
NMR-509313,Breeder,Colony-D,40.0,53,0.11,31.5,13.3,9.68,10.85,0.369,26,11,20.27,1,1
NMR-500932,Worker,Colony-B,31.0,55,0.232,32.0,24.6,7.57,16.44,0.467,26,13,21.0,1,1
NMR-502524,Soldier,Colony-B,30.3,48,0.276,33.1,15.3,7.13,6.75,0.182,30,11,24.41,1,0
NMR-501383,Worker,Colony-D,19.3,65,0.424,31.9,31.9,8.78,8.3,0.575,27,10,15.28,0,1
NMR-506873,Worker,Colony-C,35.8,24,0.134,31.9,18.0,7.18,34.08,0.154,13,7,15.53,1,1
NMR-503280,Worker,Colony-D,15.1,49,0.215,33.3,22.2,5.87,20.29,0.329,20,5,15.51,0,0
NMR-505842,Worker,Colony-D,31.5,61,0.291,33.0,12.2,5.72,19.32,0.359,26,11,23.38,1,0
NMR-502638,Worker,Colony-B,21.5,44,0.247,31.3,19.5,8.65,10.01,0.363,19,9,20.36,1,0
NMR-508261,Worker,Colony-A,49.0,131,0.297,31.5,26.3,5.82,8.18,0.152,22,17,19.46,0,0
NMR-503013,Soldier,Colony-E,31.6,53,0.227,31.1,10.0,8.72,4.61,0.28,9,13,20.43,0,0
NMR-507783,Soldier,Colony-A,29.5,16,0.151,31.2,27.3,6.95,18.12,0.699,23,5,19.47,1,0
NMR-500925,Queen,Colony-D,52.8,38,0.231,31.8,53.5,5.88,13.93,0.532,22,14,16.95,1,1
NMR-506952,Worker,Colony-A,33.5,109,0.228,32.9,22.3,7.87,8.52,0.14,24,6,18.91,1,1
NMR-503545,Soldier,Colony-D,35.4,112,0.203,31.0,19.5,7.53,8.63,0.289,30,15,19.28,1,1
NMR-504379,Soldier,Colony-A,30.9,39,0.365,32.3,22.2,6.76,4.86,0.19,26,8,20.47,0,1
NMR-506481,Queen,Colony-A,44.8,47,0.185,33.7,53.3,7.53,2.23,0.129,32,7,24.41,1,0
NMR-501815,Worker,Colony-C,23.3,84,0.326,31.7,15.3,5.24,15.11,0.457,23,14,20.55,0,0
NMR-507389,Worker,Colony-E,34.1,68,0.298,33.0,25.7,5.68,11.73,0.338,17,10,17.97,1,0
NMR-505233,Worker,Colony-E,25.8,102,0.239,32.1,21.1,7.41,15.19,0.431,26,5,18.37,0,0
NMR-503906,Soldier,Colony-A,32.9,14,0.178,32.7,20.2,8.44,13.97,0.337,23,14,23.29,0,0
NMR-508785,Worker,Colony-E,19.7,82,0.22,32.1,21.3,7.51,8.78,0.415,23,4,19.28,0,1
NMR-504711,Queen,Colony-E,34.4,39,0.283,32.7,16.2,6.86,2.14,0.336,20,7,19.34,0,0
NMR-504047,Soldier,Colony-E,30.5,30,0.233,33.0,30.4,7.65,5.94,0.35,33,10,18.74,1,0
NMR-501550,Worker,Colony-A,31.5,48,0.207,32.3,24.9,8.57,12.23,0.174,15,10,21.0,1,1
NMR-504735,Worker,Colony-B,27.0,54,0.219,30.5,11.4,7.08,16.24,0.41,30,10,25.46,1,0
NMR-501048,Soldier,Colony-B,37.5,26,0.19,30.8,11.1,5.56,9.15,0.433,22,12,22.71,0,1
NMR-506792,Worker,Colony-E,34.6,88,0.138,31.7,13.1,8.4,12.1,0.472,34,13,19.81,1,1
NMR-505643,Soldier,Colony-E,33.1,48,0.137,32.3,12.5,6.89,18.04,0.329,21,5,26.63,1,0
NMR-504892,Breeder,Colony-C,45.0,35,0.228,32.2,23.9,7.12,0.82,0.182,19,13,18.41,0,0
NMR-503213,Soldier,Colony-A,53.2,111,0.309,30.3,10.5,6.94,8.16,0.178,27,12,21.53,0,0
NMR-507676,Worker,Colony-C,35.4,37,0.326,33.4,31.4,5.74,11.88,0.313,23,8,24.91,1,1
NMR-503398,Soldier,Colony-A,29.6,44,0.231,32.5,16.1,7.0,6.85,0.419,27,12,15.57,0,1
NMR-509685,Worker,Colony-B,32.3,40,0.226,32.5,18.9,6.95,8.75,0.441,21,13,19.03,0,1
NMR-508023,Breeder,Colony-B,46.8,78,0.214,32.9,10.6,6.82,4.54,0.215,30,8,20.09,1,0
NMR-501948,Worker,Colony-A,29.2,75,0.152,32.5,26.0,7.98,18.94,0.404,23,11,15.26,1,1
NMR-509289,Worker,Colony-A,32.4,82,0.341,31.0,19.5,6.41,5.83,0.235,26,10,23.26,0,0
NMR-507603,Soldier,Colony-D,30.6,50,0.219,33.7,19.6,8.28,12.13,0.273,22,15,22.43,1,0
