sample_id,group,batch,measure_1,nuclei_count,mean_nuclear_area,mean_cell_area,mean_intensity_dapi,mean_intensity_gfp,nuclear_circularity,fraction_in_focus,background_sd,target_a,target_b
IMG-000001,TreatmentB,B03,111.59,253,172.13,391.83,1212.9,1115.4,0.8945,0.8081,16.23,1,1
IMG-000002,Control,B02,99.28,255,199.04,918.25,1154.7,-1.2,0.8167,0.7988,16.44,1,0
IMG-000003,TreatmentB,B02,86.88,264,145.14,700.31,1042.9,531.8,0.8637,0.7647,51.33,0,0
IMG-000004,Control,B01,107.13,234,194.64,948.43,1387.1,384.2,0.7793,0.725,15.93,1,0
IMG-000005,Control,B02,92.25,237,259.13,880.12,1417.3,539.5,0.6106,0.8777,38.35,1,0
IMG-000006,TreatmentA,B03,94.19,256,173.24,534.24,1188.6,314.6,0.8216,0.8193,38.82,0,1
IMG-000007,TreatmentB,B02,74.2,252,156.66,671.28,1382.3,802.9,0.8052,0.9237,33.42,1,1
IMG-000008,Control,B02,113.82,258,188.85,703.16,1729.8,115.8,0.82,0.8732,22.12,0,1
IMG-000009,Control,B01,100.7,262,203.92,851.14,1724.0,232.8,0.754,0.985,18.79,1,1
IMG-000010,TreatmentA,B01,84.76,235,187.97,982.17,1326.9,390.2,0.8701,0.9213,46.0,0,1
IMG-000011,TreatmentB,B01,48.04,243,177.55,713.19,1070.4,762.8,0.844,0.6192,33.52,0,1
IMG-000012,TreatmentB,B01,108.7,259,181.95,729.87,1350.6,1025.0,0.8332,0.8593,10.32,1,1
IMG-000013,TreatmentB,B01,93.85,252,184.32,851.55,1797.3,676.9,0.9228,0.9562,20.0,1,1
IMG-000014,Control,B02,96.67,214,226.62,559.4,1486.5,764.3,0.753,0.8954,43.62,0,0
IMG-000015,TreatmentA,B03,93.96,241,179.31,918.46,1389.3,1730.1,0.7537,0.8665,35.39,1,0
IMG-000016,Control,B01,118.76,199,179.56,577.06,1415.7,284.2,0.8548,0.9591,26.0,0,1
IMG-000017,Control,B02,102.09,240,150.09,948.08,1504.5,98.3,0.752,0.8306,26.45,0,0
IMG-000018,TreatmentA,B01,113.79,270,128.59,881.32,987.9,822.8,0.9403,0.9474,19.06,1,0
IMG-000019,TreatmentB,B02,107.62,280,182.6,798.81,1270.4,928.8,0.887,0.8059,24.1,1,1
IMG-000020,TreatmentB,B01,82.37,246,188.4,1013.32,662.6,930.5,0.7363,0.9087,21.87,1,0
IMG-000021,TreatmentA,B03,74.46,217,180.86,837.58,1594.8,334.0,0.8471,0.83,43.09,0,1
IMG-000022,TreatmentB,B01,92.11,259,226.88,774.57,1918.1,823.0,0.6915,0.8594,55.98,1,0
IMG-000023,Control,B01,87.93,210,178.97,665.24,1450.5,440.7,0.9096,0.8983,21.43,0,0
IMG-000024,Control,B01,89.82,234,171.02,699.81,1709.8,-27.6,0.8465,0.9412,25.06,0,1
IMG-000025,TreatmentA,B03,97.59,263,105.67,675.44,1330.0,317.1,0.7768,0.9369,24.26,1,0
IMG-000026,TreatmentA,B02,123.74,230,186.83,767.6,1828.3,377.6,0.7296,0.9813,32.65,1,1
IMG-000027,TreatmentA,B01,106.56,239,206.2,813.39,1558.1,460.4,0.8909,0.9153,55.66,1,1
IMG-000028,Control,B01,101.71,202,234.31,671.94,1132.4,568.8,0.6406,0.9262,20.09,0,1
IMG-000029,Control,B02,95.34,218,208.91,422.77,1090.6,-94.9,0.8121,0.9432,29.78,1,1
IMG-000030,Control,B02,74.72,224,227.76,752.2,1329.7,462.6,0.5384,0.9303,20.7,1,1
IMG-000031,Control,B01,86.56,238,144.28,739.33,1709.9,621.6,0.8956,0.902,15.56,1,0
IMG-000032,TreatmentB,B02,91.64,230,137.24,768.59,1529.1,1343.5,0.7653,0.9737,14.84,1,0
IMG-000033,TreatmentA,B02,84.32,243,171.92,479.33,1366.0,286.7,0.8656,0.9565,31.28,0,1
IMG-000034,TreatmentB,B03,110.9,246,225.96,750.05,1471.4,1076.8,0.7488,0.9525,61.79,1,0
IMG-000035,TreatmentB,B01,86.64,239,170.76,786.03,1798.2,760.3,0.7751,0.902,15.36,1,1
IMG-000036,TreatmentB,B02,105.53,252,183.84,701.25,870.9,762.9,0.7,0.9132,39.67,1,1
IMG-000037,Control,B03,111.67,258,156.72,535.08,1718.0,732.8,0.7644,0.7765,35.38,1,0
IMG-000038,TreatmentB,B03,129.74,239,189.36,894.1,1407.0,583.9,0.8957,0.9241,25.12,1,1
IMG-000039,TreatmentB,B01,94.55,242,190.57,613.79,1571.8,782.4,0.8464,0.9291,29.13,1,0
IMG-000040,TreatmentB,B01,90.53,259,195.32,643.59,1524.5,889.0,0.8988,0.9963,33.53,0,0
IMG-000041,Control,B01,93.27,253,202.05,858.21,1287.3,125.9,0.7132,0.9766,24.37,0,0
IMG-000042,Control,B02,111.24,239,207.01,480.49,1591.4,442.8,0.9349,0.9279,20.4,0,0
IMG-000043,TreatmentA,B02,61.64,223,158.55,866.11,1764.6,729.5,0.864,0.9627,16.5,0,1
IMG-000044,Control,B01,85.15,264,172.6,992.62,1391.3,77.4,0.8958,0.8318,13.13,0,1
IMG-000045,TreatmentA,B01,105.88,229,140.79,737.93,1310.4,698.6,0.8481,0.946,19.34,0,0
IMG-000046,TreatmentB,B01,102.73,240,229.73,667.69,1357.6,1290.4,0.7859,0.8956,13.25,1,1
IMG-000047,TreatmentA,B01,97.17,223,212.56,733.44,1361.0,250.9,0.8679,0.9644,14.7,1,1
IMG-000048,TreatmentA,B03,86.98,234,160.36,1033.66,1557.8,164.9,0.8643,0.8561,23.82,0,1
IMG-000049,TreatmentB,B03,91.55,244,199.23,811.54,1638.6,722.8,0.7297,0.9203,12.23,1,1
IMG-000050,Control,B01,87.68,233,240.09,561.09,1462.6,724.1,0.8664,0.851,14.39,0,0
IMG-000051,Control,B03,104.62,237,188.64,444.03,1390.9,185.8,0.8506,0.8301,26.28,1,1
IMG-000052,Control,B01,60.3,251,164.34,357.3,1712.4,455.2,0.8474,0.8833,27.45,1,0
IMG-000053,Control,B03,85.36,243,205.51,671.24,1783.4,70.0,0.7516,0.8971,25.94,0,1
IMG-000054,Control,B01,128.04,232,190.42,595.81,1030.4,62.0,0.8456,0.9065,38.62,0,1
