sample_id,role,colony,body_mass_g,age_months,resting_metabolic_rate,body_temp_c,hypoxia_survival_min,hyaluronan_mda,cortisol_ng_ml,incisor_wear_score,chirps_per_hour,grooming_events_day,telomere_length_kb,target_a,target_b
NMR-500576,Breeder,Colony-D,44.5,44,0.214,31.5,32.5,5.19,12.82,0.233,34,9,18.92,1,1
NMR-500604,Worker,Colony-E,23.2,64,0.23,31.9,15.3,7.78,19.88,0.343,19,10,21.58,1,1
NMR-500189,Worker,Colony-A,38.4,162,0.223,32.7,18.4,6.6,14.29,0.583,34,17,26.4,1,1
NMR-500027,Worker,Colony-D,32.6,27,0.159,32.7,13.7,6.51,13.16,0.219,27,15,23.63,0,1
NMR-500464,Worker,Colony-A,26.7,116,0.198,33.0,27.7,6.98,11.5,0.411,20,12,17.1,1,1
NMR-500454,Breeder,Colony-D,54.2,60,0.228,32.0,5.4,5.96,13.2,0.411,29,14,21.74,0,1
NMR-500508,Soldier,Colony-C,30.5,39,0.223,31.0,40.4,7.37,8.04,0.23,25,4,20.57,0,1
NMR-500608,Soldier,Colony-D,38.4,22,0.322,32.6,20.5,6.17,36.45,0.243,30,14,18.22,0,1
NMR-500698,Worker,Colony-A,32.1,33,0.37,33.6,17.7,7.72,17.26,0.426,20,11,17.33,0,0
NMR-500121,Worker,Colony-A,24.5,44,0.243,33.8,18.7,5.75,10.37,0.355,23,15,24.0,0,1
NMR-500851,Worker,Colony-A,36.1,46,0.314,33.6,23.9,5.86,21.29,0.426,23,11,21.22,0,0
NMR-500879,Worker,Colony-A,38.1,32,0.307,31.5,16.6,7.52,13.82,0.159,27,13,22.78,1,0
NMR-500039,Soldier,Colony-A,40.1,61,0.216,33.0,26.7,9.5,9.83,0.335,25,12,25.37,1,0
NMR-500573,Worker,Colony-B,29.0,56,0.157,32.4,22.5,7.39,10.51,0.164,24,14,18.85,0,1
NMR-500623,Worker,Colony-B,20.7,51,0.297,32.4,26.4,7.88,29.63,0.312,18,14,24.93,1,0
NMR-500574,Soldier,Colony-C,39.7,74,0.142,32.0,27.4,5.66,4.6,0.35,25,9,24.91,1,0
NMR-500626,Worker,Colony-B,35.9,107,0.26,31.7,11.2,6.59,12.54,0.234,22,10,22.29,0,0
NMR-500524,Queen,Colony-C,37.2,79,0.206,32.0,32.8,8.0,5.48,0.222,32,8,18.32,1,1
NMR-500979,Worker,Colony-C,35.6,27,0.293,32.1,30.1,7.3,11.09,0.652,17,18,20.61,1,1
NMR-500201,Soldier,Colony-B,33.9,45,0.342,33.7,8.6,6.71,6.3,0.22,23,8,23.94,0,0
NMR-500668,Soldier,Colony-E,47.0,33,0.181,32.1,12.2,6.32,7.35,0.335,28,9,23.62,1,1
NMR-500985,Worker,Colony-B,30.9,130,0.267,32.9,17.3,6.42,14.83,0.305,20,18,14.84,0,0
NMR-500520,Soldier,Colony-D,39.7,68,0.421,32.1,12.2,8.03,4.41,0.33,22,10,13.37,0,1
NMR-500199,Soldier,Colony-C,35.5,38,0.356,31.3,23.2,6.66,2.45,0.282,19,14,21.67,1,1
NMR-500210,Worker,Colony-A,30.5,45,0.234,30.6,16.6,6.27,7.79,0.681,29,6,17.4,0,0
NMR-500087,Worker,Colony-D,23.4,58,0.265,31.4,40.8,6.34,11.77,0.382,26,9,14.01,0,1
NMR-500112,Soldier,Colony-C,23.7,73,0.204,32.5,11.2,10.02,15.57,0.251,28,6,19.97,1,1
NMR-500443,Worker,Colony-B,36.7,21,0.297,32.2,13.6,8.14,19.15,0.297,27,12,22.63,0,0
NMR-500056,Soldier,Colony-A,56.0,55,0.307,33.2,40.3,7.25,13.48,0.393,16,14,17.22,1,0
NMR-500850,Soldier,Colony-C,35.4,103,0.174,31.6,15.1,7.1,12.54,0.24,23,10,16.95,0,0
NMR-500947,Queen,Colony-D,44.9,31,0.16,31.3,25.9,5.98,-3.27,0.084,18,15,22.51,1,1
NMR-500981,Worker,Colony-E,39.3,64,0.232,32.4,20.9,6.2,21.56,0.513,16,8,19.11,0,1
NMR-500984,Worker,Colony-A,23.9,58,0.244,31.4,33.5,9.23,17.83,0.355,17,8,25.3,1,1
NMR-500424,Worker,Colony-E,32.0,49,0.27,31.9,16.9,7.32,15.07,0.357,11,7,16.04,0,1
NMR-500400,Worker,Colony-D,29.5,50,0.228,32.5,14.6,7.58,9.96,0.404,27,20,20.95,0,1
NMR-500550,Worker,Colony-A,26.9,83,0.449,32.8,25.1,7.54,12.29,0.176,22,14,20.11,1,1
NMR-500379,Breeder,Colony-A,53.3,45,0.228,32.8,15.6,8.74,8.75,0.154,26,13,20.57,1,0
NMR-500510,Worker,Colony-B,29.0,42,0.191,31.5,28.6,6.18,15.76,0.281,16,15,20.77,1,0
NMR-500503,Worker,Colony-E,32.4,86,0.311,33.4,20.7,5.77,12.84,0.252,16,15,19.14,0,0
NMR-500556,Soldier,Colony-E,37.5,49,0.209,34.2,10.8,6.09,4.57,0.295,24,9,20.6,0,0
NMR-500198,Worker,Colony-D,31.8,93,0.369,30.9,13.4,6.51,14.77,0.267,30,13,18.82,0,0
NMR-500997,Worker,Colony-E,25.5,71,0.226,33.5,16.9,7.32,12.22,0.226,38,13,16.78,0,0
NMR-500742,Soldier,Colony-D,28.9,94,0.369,32.7,8.9,7.11,12.22,0.59,21,10,21.15,0,1
NMR-500650,Worker,Colony-B,31.7,35,0.307,32.7,8.6,6.65,21.9,0.444,23,15,21.69,0,1
NMR-500557,Worker,Colony-B,34.0,88,0.233,31.4,19.5,7.73,23.79,0.226,28,7,19.62,0,1
NMR-500059,Soldier,Colony-A,37.1,60,0.235,31.9,35.3,8.94,16.52,0.184,19,17,23.77,1,1
NMR-500246,Worker,Colony-C,22.2,69,0.315,30.9,15.0,7.68,17.19,0.384,18,14,18.95,0,1
NMR-500104,Soldier,Colony-E,37.2,88,0.331,32.4,23.8,6.84,13.28,0.275,18,10,17.09,0,1
NMR-500445,Worker,Colony-B,30.2,48,0.289,32.8,16.9,5.69,18.12,0.266,26,12,17.98,1,1
NMR-500077,Soldier,Colony-B,36.3,43,0.465,33.1,41.7,7.17,8.25,0.42,20,13,21.48,1,0
NMR-500966,Soldier,Colony-B,35.2,33,0.217,32.8,24.5,5.26,4.73,0.381,24,8,21.15,1,1
NMR-500251,Worker,Colony-C,30.6,54,0.313,32.2,15.0,6.75,15.49,0.415,26,11,21.81,0,1
NMR-500035,Worker,Colony-B,27.3,43,0.282,31.7,25.4,7.24,14.84,0.115,27,15,12.6,1,1
NMR-500496,Worker,Colony-A,31.9,91,0.303,31.1,17.7,8.78,13.21,0.316,27,13,23.92,1,1
NMR-500523,Worker,Colony-A,30.4,162,0.179,32.4,9.1,6.3,7.17,0.618,35,14,22.23,0,0
NMR-500933,Worker,Colony-A,27.3,161,0.215,33.7,12.3,5.82,8.88,0.344,18,11,22.22,0,0
NMR-500408,Worker,Colony-C,34.8,52,0.194,31.9,34.3,5.71,10.51,0.102,17,15,20.35,1,1
NMR-500682,Soldier,Colony-E,37.8,78,0.234,32.6,14.5,7.59,8.39,0.319,21,7,20.57,1,1
NMR-500880,Worker,Colony-D,40.0,41,0.4,32.3,19.6,7.65,28.21,0.039,30,11,23.61,1,0
NMR-500882,Soldier,Colony-E,31.8,75,0.228,31.2,16.6,8.4,7.55,0.407,24,8,22.12,0,1
NMR-500703,Breeder,Colony-C,48.8,79,0.183,31.6,9.3,5.06,9.03,0.55,26,8,26.92,1,0
NMR-500288,Worker,Colony-E,35.2,114,0.207,32.0,23.9,8.46,9.29,0.303,31,14,17.2,1,1
NMR-500105,Worker,Colony-B,21.2,58,0.498,32.7,19.2,6.22,10.11,0.371,18,16,20.0,1,1
NMR-500959,Soldier,Colony-C,28.2,36,0.242,31.7,26.5,5.68,4.55,0.3,33,14,20.62,1,1
NMR-500912,Worker,Colony-B,30.0,46,0.32,32.3,12.5,3.63,14.35,0.2,19,12,20.11,0,0
NMR-500669,Worker,Colony-B,29.0,66,0.237,31.9,23.6,6.55,10.29,0.311,25,11,20.23,1,1
NMR-500888,Worker,Colony-C,34.7,95,0.199,32.4,18.5,5.62,14.18,0.372,25,9,17.31,0,0
NMR-500031,Soldier,Colony-B,30.0,86,0.221,31.2,17.1,4.96,14.19,0.4,24,6,17.75,0,0
NMR-500439,Soldier,Colony-E,27.9,31,0.351,30.9,17.3,7.03,10.3,0.132,39,17,21.27,0,0
NMR-500857,Worker,Colony-A,36.1,65,0.452,33.7,18.7,4.39,7.7,0.638,28,11,16.89,0,0
NMR-500268,Soldier,Colony-E,30.6,25,0.516,32.5,15.7,6.38,19.12,0.137,25,9,20.78,0,1
NMR-500852,Soldier,Colony-C,31.9,25,0.24,32.2,17.4,7.15,6.61,0.326,19,6,20.07,1,0
NMR-500522,Worker,Colony-C,24.7,162,0.247,33.0,15.5,7.03,12.85,0.46,27,9,18.2,0,1
NMR-500040,Worker,Colony-A,39.7,29,0.31,31.2,40.7,8.2,20.95,0.153,26,14,19.6,1,0
NMR-500255,Worker,Colony-E,26.0,77,0.217,32.5,22.6,7.23,11.41,0.369,28,7,21.44,0,1
NMR-500419,Queen,Colony-C,42.1,41,0.234,31.3,15.7,6.87,0.22,0.273,22,9,18.47,0,0
NMR-500999,Breeder,Colony-E,37.1,51,0.324,32.0,30.2,9.42,4.98,0.36,24,11,21.94,1,1
NMR-500275,Breeder,Colony-C,36.0,45,0.27,31.5,19.7,7.16,7.01,0.232,25,10,15.36,0,0
NMR-500935,Soldier,Colony-D,44.2,63,0.274,32.2,22.1,6.76,11.03,0.178,30,9,17.72,0,1
NMR-500415,Worker,Colony-B,34.5,52,0.205,32.6,14.1,5.85,23.14,0.328,33,21,22.4,1,1
NMR-500916,Soldier,Colony-B,31.6,48,0.163,31.3,12.8,7.04,7.73,0.468,22,7,17.04,0,1
NMR-500032,Breeder,Colony-A,42.8,58,0.354,31.7,15.0,6.82,10.64,0.159,31,14,21.45,0,1
NMR-500274,Soldier,Colony-E,45.8,107,0.341,32.8,23.1,4.38,4.27,0.317,32,9,19.28,0,0
NMR-500973,Soldier,Colony-A,30.0,28,0.304,33.2,14.6,6.11,16.65,0.26,19,9,22.37,0,1
NMR-500095,Worker,Colony-E,30.3,29,0.269,32.5,16.1,6.47,10.36,0.281,27,14,16.16,0,1
NMR-500129,Worker,Colony-B,26.4,47,0.234,32.6,12.7,6.23,14.53,0.469,37,10,22.2,0,1
NMR-500423,Worker,Colony-E,37.0,106,0.278,31.7,32.2,8.43,7.23,0.435,23,9,18.22,0,1
NMR-500953,Soldier,Colony-C,48.0,37,0.215,32.1,28.0,6.8,6.94,0.25,21,8,23.57,1,1
NMR-500738,Soldier,Colony-A,32.3,32,0.267,31.4,11.3,5.71,6.95,0.185,24,6,24.18,1,0
NMR-500467,Soldier,Colony-C,34.7,41,0.262,31.3,33.0,7.17,14.85,0.385,27,8,22.26,1,0
NMR-500690,Worker,Colony-D,34.1,71,0.301,32.3,16.7,6.56,7.73,0.347,27,6,17.03,0,1
NMR-500816,Worker,Colony-E,29.2,91,0.436,32.0,15.9,7.85,7.7,0.458,24,13,14.1,0,1
NMR-500249,Soldier,Colony-E,42.1,65,0.35,31.7,33.7,7.43,9.12,0.305,20,11,19.75,1,1
NMR-500567,Soldier,Colony-C,38.5,73,0.132,31.8,8.3,5.83,7.2,0.315,24,13,19.68,0,0
NMR-500833,Worker,Colony-E,23.9,61,0.214,32.9,13.4,5.53,12.23,0.348,15,11,21.87,0,0
NMR-500366,Worker,Colony-D,26.9,109,0.176,32.0,17.0,7.16,7.62,0.171,16,12,17.5,0,1
NMR-500836,Soldier,Colony-D,37.6,75,0.406,32.4,23.1,7.54,12.76,0.237,30,14,22.22,1,1
NMR-500891,Soldier,Colony-A,36.4,32,0.155,29.7,11.9,8.35,16.81,0.317,27,11,21.43,1,0
NMR-500477,Soldier,Colony-E,29.6,39,0.347,31.6,19.7,7.88,21.1,0.192,26,10,17.46,0,0
NMR-500422,Soldier,Colony-A,45.1,42,0.394,32.5,19.4,7.72,5.73,0.108,18,9,19.98,0,1
NMR-500229,Soldier,Colony-C,21.3,42,0.338,33.0,10.1,5.08,13.15,0.084,23,13,19.76,0,1
NMR-500453,Soldier,Colony-C,26.9,65,0.185,32.4,11.5,6.92,7.28,0.517,25,13,21.54,0,1
NMR-500837,Breeder,Colony-D,35.3,25,0.204,32.4,20.1,4.18,7.01,0.441,23,10,25.2,1,1
NMR-500986,Soldier,Colony-A,34.3,69,0.267,31.9,12.8,6.25,11.45,0.471,20,16,27.2,0,1
NMR-500988,Queen,Colony-C,43.3,77,0.22,32.9,25.0,6.3,4.3,0.275,22,10,20.34,1,1
NMR-500382,Worker,Colony-C,34.4,31,0.347,32.8,25.4,6.98,14.39,0.357,27,15,20.2,1,1
NMR-500107,Breeder,Colony-E,35.7,49,0.184,31.6,12.1,8.14,12.87,0.192,18,8,25.18,1,1
NMR-500633,Worker,Colony-B,25.7,35,0.216,30.6,28.6,7.33,27.84,0.351,27,6,21.57,1,0
NMR-500838,Breeder,Colony-A,40.8,33,0.43,30.4,7.8,6.56,5.05,0.284,19,6,18.35,0,0
NMR-500729,Worker,Colony-A,29.3,85,0.156,31.7,17.0,5.86,16.76,0.34,26,12,18.75,1,0
NMR-500646,Soldier,Colony-C,30.1,88,0.296,31.5,17.8,6.21,5.83,0.214,14,9,18.41,0,0
NMR-500770,Soldier,Colony-C,38.2,74,0.183,31.3,9.4,5.79,11.12,0.167,27,6,18.42,0,1
NMR-500200,Soldier,Colony-A,38.6,43,0.159,32.5,21.8,8.47,10.3,0.675,22,8,21.8,1,0
NMR-500322,Worker,Colony-C,39.5,96,0.197,31.4,13.6,6.17,7.41,0.115,26,9,17.43,0,0
NMR-500361,Worker,Colony-A,16.2,79,0.331,31.9,15.8,7.47,10.33,0.201,22,12,26.4,1,1
NMR-500699,Soldier,Colony-D,40.8,72,0.162,32.9,21.8,8.26,3.14,0.236,28,9,20.57,1,1
NMR-500807,Soldier,Colony-E,23.8,120,0.317,32.6,10.5,6.82,9.96,0.229,21,7,21.02,0,1
