sample_id,group,batch,measure_1,resting_potential_mv,input_resistance_mohm,membrane_tau_ms,rheobase_pa,ap_threshold_mv,ap_half_width_ms,max_firing_rate_hz,spike_count,adaptation_index,target_a,target_b
NEU-000001,Control,B02,116.44,-61.06,97.0,10.92,138.5,-45.03,1.373,24.7,78,0.2367,0,1
NEU-000002,TreatmentA,B03,103.52,-65.48,322.7,8.74,165.6,-38.53,0.881,49.5,82,0.3975,0,1
NEU-000003,TreatmentA,B02,101.56,-62.18,109.9,10.15,156.4,-39.43,1.76,43.6,104,0.157,1,1
NEU-000004,TreatmentB,B03,103.91,-66.24,215.1,16.1,112.8,-42.45,1.932,43.8,86,0.1385,1,0
NEU-000005,TreatmentA,B03,112.28,-69.78,114.9,25.98,159.7,-45.08,0.967,48.0,91,0.2862,0,0
NEU-000006,TreatmentA,B01,96.14,-68.6,146.4,10.08,77.5,-43.72,0.792,20.1,68,0.3882,0,1
NEU-000007,Control,B03,84.81,-71.59,568.2,12.8,169.2,-44.13,0.827,41.3,74,0.137,0,1
NEU-000008,Control,B03,92.42,-70.91,196.0,11.86,166.2,-46.24,0.694,26.2,67,0.4428,0,0
NEU-000009,Control,B03,100.52,-70.59,208.9,27.59,136.8,-40.36,1.204,39.3,90,0.5223,0,1
NEU-000010,TreatmentA,B03,78.58,-69.33,178.3,7.37,23.6,-43.26,0.673,38.8,91,0.2585,1,1
NEU-000011,TreatmentB,B03,87.86,-60.92,149.6,5.22,103.1,-45.47,0.781,51.2,90,0.1207,1,1
NEU-000012,Control,B03,80.17,-73.71,130.2,11.37,187.9,-46.72,1.0,22.7,68,0.4247,1,0
NEU-000013,TreatmentA,B01,82.9,-78.01,116.5,18.64,143.8,-37.05,1.378,44.3,95,0.3908,1,0
NEU-000014,Control,B01,99.75,-59.2,214.1,8.25,71.0,-44.91,0.927,32.1,85,0.3066,0,1
NEU-000015,TreatmentB,B02,90.05,-65.51,498.2,19.73,144.0,-38.23,0.929,32.3,91,0.5508,0,1
NEU-000016,TreatmentA,B01,69.98,-62.69,290.5,13.02,18.8,-43.61,1.021,55.0,91,0.251,0,0
NEU-000017,Control,B03,78.47,-63.47,231.9,10.75,158.4,-47.21,0.808,67.3,104,0.3019,0,1
