sample_id,group,batch,measure_1,tx_count_total,genes_detected,mito_fraction,ribo_fraction,mean_gc_percent,duplication_rate,median_tx_length,counts_gene_of_interest,target_a,target_b
GEN-500158,TreatmentB,B01,103.51,1274648,15103,0.0354,0.2627,45.95,0.2833,1681,595,0,1
GEN-500356,TreatmentB,B02,102.78,4967211,15502,0.1596,0.1346,47.15,0.134,2007,1006,0,1
GEN-500703,TreatmentA,B02,93.99,783147,14472,0.0542,0.1031,40.05,0.1496,2672,439,1,0
GEN-500508,TreatmentA,B03,99.69,2139657,13354,0.0414,0.1167,45.29,0.0777,1075,912,1,1
GEN-500030,Control,B03,108.78,712821,12008,0.1286,0.0868,44.01,0.0578,2421,159,0,1
GEN-500338,Control,B01,73.69,3223192,9434,0.0277,0.121,48.74,0.1216,1927,96,0,0
GEN-500761,TreatmentA,B01,85.4,1964237,11776,0.1019,0.1427,47.45,0.1547,2512,826,0,1
GEN-500807,Control,B02,119.43,1877356,13431,0.0642,0.0897,47.01,0.1758,4858,418,0,1
GEN-500963,TreatmentA,B02,98.51,1016029,16912,0.0157,0.1236,43.25,0.3759,1432,321,1,0
GEN-500514,TreatmentB,B03,95.35,607911,14216,0.0763,0.1863,48.32,0.2158,1462,641,0,1
GEN-500125,TreatmentA,B03,102.85,2913507,14071,0.0423,0.0659,46.7,0.2897,1261,325,0,0
GEN-500977,Control,B03,87.19,2338396,15439,0.027,0.0805,45.63,0.335,1106,489,1,0
GEN-500990,TreatmentB,B02,115.44,2123887,14863,0.008,0.1768,46.82,0.0609,2251,970,1,1
GEN-500832,Control,B01,118.7,893833,14960,0.0456,0.262,47.79,0.1944,1570,278,0,1
GEN-500612,TreatmentB,B03,97.84,1478441,16975,0.0394,0.1501,47.84,0.2636,1280,538,1,1
GEN-500719,Control,B03,79.02,2767243,15420,0.051,0.2385,47.96,0.1032,1859,240,0,0
GEN-500985,TreatmentA,B02,102.3,2442364,15834,0.0362,0.2021,47.51,0.1911,2062,354,0,0
GEN-500336,Control,B03,80.1,5327236,15217,0.0191,0.1024,45.34,0.3648,1436,66,0,0
GEN-500144,TreatmentA,B03,73.58,1466198,13787,0.1886,0.1458,47.6,0.0964,733,430,0,1
GEN-500651,Control,B03,120.91,1387275,14937,0.0372,0.1092,47.3,0.2626,1809,-38,0,0
GEN-500557,TreatmentA,B02,86.37,791571,16221,0.0212,0.0715,47.59,0.4173,1591,1444,1,1
GEN-500983,Control,B01,97.64,1038791,13907,0.0465,0.1854,48.01,0.3844,2216,-72,0,1
GEN-500775,Control,B02,125.89,1121318,16401,0.124,0.1184,48.23,0.1261,2418,-44,0,1
GEN-500543,Control,B03,104.03,391172,10659,0.0095,0.1563,50.87,0.2757,1051,580,1,1
GEN-500804,TreatmentB,B02,140.51,799792,13370,0.0272,0.1131,48.08,0.3241,2240,510,0,0
GEN-500166,TreatmentB,B03,56.86,2527898,13264,0.0234,0.2672,44.59,0.1914,954,640,1,0
GEN-500566,TreatmentB,B02,96.54,727268,13196,0.0296,0.0983,47.71,0.0548,1269,940,0,1
GEN-500029,TreatmentB,B02,111.46,766097,15247,0.1119,0.0809,44.9,0.2565,1445,549,0,0
GEN-500349,TreatmentB,B03,111.2,1024947,19322,0.069,0.158,47.01,0.1415,967,848,1,1
GEN-500404,Control,B01,107.59,1177364,18869,0.0609,0.1621,46.45,0.1745,1993,315,0,1
GEN-500652,TreatmentA,B01,82.56,685883,14399,0.038,0.1258,46.09,0.0505,2281,665,0,1
GEN-500063,TreatmentA,B03,95.48,2057556,17692,0.0239,0.1112,46.0,0.1844,808,524,1,1
GEN-500993,Control,B02,95.88,2619362,13140,0.0324,0.1822,46.04,0.2143,2487,121,1,1
GEN-500413,Control,B03,93.33,1174089,13588,0.0563,0.1354,49.54,0.2565,1312,5,1,0
GEN-500509,TreatmentB,B02,113.92,2100020,17529,0.0941,0.0481,48.84,0.0962,1913,1257,1,1
GEN-500695,TreatmentB,B03,102.96,1853111,15723,0.0472,0.1799,42.66,0.1053,3477,834,1,0
GEN-500515,Control,B01,84.86,894226,13765,0.0065,0.1977,46.92,0.2095,1370,-17,0,1
GEN-500051,TreatmentB,B02,87.85,716081,13978,0.031,0.0749,46.71,0.1415,3330,1477,1,1
GEN-500735,Control,B01,108.86,2403919,16780,0.046,0.113,47.62,0.0849,2523,-23,1,1
GEN-500115,TreatmentA,B02,58.77,3070375,12299,0.0792,0.1183,44.39,0.2616,2062,408,0,0
GEN-500538,Control,B03,100.53,2603220,12820,0.0774,0.2108,47.11,0.272,2113,3,0,1
GEN-500492,Control,B02,105.51,1845351,12018,0.0421,0.0922,46.41,0.2793,1525,893,0,0
GEN-500666,TreatmentB,B01,77.92,1072856,16667,0.0452,0.2403,47.28,0.0792,1638,807,1,0
GEN-500267,TreatmentB,B03,90.31,1057749,17490,0.0256,0.2665,46.11,0.1497,1140,886,1,1
GEN-500945,TreatmentA,B03,100.78,2566820,13732,0.0733,0.0425,45.82,0.2013,1399,530,0,0
GEN-500314,TreatmentB,B03,82.5,501144,19291,0.1575,0.0711,44.18,0.1269,1447,825,0,0
GEN-500173,Control,B01,106.83,1240832,10172,0.0352,0.1381,46.05,0.2002,1787,195,0,1
GEN-500911,Control,B03,87.26,1834612,15865,0.024,0.1125,44.99,0.2125,1455,-14,1,0
GEN-500099,Control,B02,75.93,2044008,14590,0.0534,0.2757,49.03,0.2409,1390,1137,1,0
GEN-500640,TreatmentB,B02,110.27,2403725,17851,0.0009,0.18,43.76,0.1688,2474,1726,1,0
GEN-500546,Control,B03,116.02,472497,10211,0.0557,0.0737,49.88,0.1566,1027,150,0,0
GEN-500687,TreatmentA,B01,96.02,2350762,16384,0.0238,0.1606,40.39,0.3003,1703,411,0,0
GEN-500399,Control,B01,92.63,3092316,17580,0.0057,0.15,46.46,0.149,2443,120,1,1
GEN-500473,Control,B01,133.88,1609451,11646,0.0217,0.1259,47.94,0.2593,1958,422,1,1
GEN-500147,Control,B01,90.75,1160990,13398,0.0165,0.0265,45.12,0.1541,1509,300,0,0
GEN-500159,TreatmentA,B02,93.45,1309023,13949,0.0566,0.0377,46.13,0.1013,1169,585,0,1
GEN-500442,TreatmentB,B01,99.09,675863,16411,0.0472,0.1029,48.28,0.059,1848,643,1,1
GEN-500732,TreatmentB,B02,117.0,2330743,15111,0.1189,0.1833,46.71,0.1405,2926,938,0,0
GEN-500701,TreatmentA,B03,106.76,1869566,15101,0.1253,0.1618,44.48,0.3187,1786,883,1,1
GEN-500198,TreatmentB,B01,112.78,3007347,18464,0.0558,0.1325,45.73,0.0882,1174,616,0,1
GEN-500595,TreatmentB,B01,90.32,1348196,16590,0.0707,0.0601,49.44,0.1292,2568,508,0,1
GEN-500307,TreatmentB,B01,148.23,2292986,20259,0.0319,0.0746,47.33,0.0762,1124,656,1,1
GEN-500222,Control,B02,92.43,517900,14240,0.045,0.1556,40.26,0.2944,1473,321,1,0
GEN-500261,Control,B01,107.32,531976,17549,0.0256,0.117,48.98,0.2195,1462,-25,0,0
GEN-500818,TreatmentB,B01,115.7,1502678,13595,0.0265,0.0785,46.69,0.0361,1534,1357,1,1
GEN-500956,Control,B01,118.07,2187166,12336,0.0624,0.1546,47.52,0.1332,1302,-97,0,0
GEN-500689,TreatmentB,B02,123.01,645230,16582,0.016,0.1982,46.53,0.2726,1576,560,0,1
GEN-500279,Control,B01,80.6,973038,12312,0.0351,0.1072,49.5,0.1398,935,429,1,0
GEN-500841,Control,B03,117.72,2436038,12954,0.0206,0.0682,45.8,0.1168,1058,627,0,1
GEN-500148,TreatmentB,B03,98.74,1677078,13127,0.0024,0.1441,45.49,0.1776,1455,1437,1,1
GEN-500946,Control,B03,106.65,3705408,13693,0.0415,0.1241,47.8,0.169,3278,610,0,0
GEN-500266,TreatmentA,B01,81.0,3866889,14194,0.0372,0.0601,48.62,0.3268,1989,437,0,0
GEN-500126,TreatmentA,B02,94.11,254738,14125,0.0273,0.0735,46.57,0.1332,1268,480,1,1
