role,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30
breeder,9,12,11,9,6,11,12,7,10,8,13,14,10,14,8,7,17,10,7,12,4,12,4,9,14,10,6,7,11,10
soldier,7,7,11,6,12,7,9,2,4,11,12,7,10,3,5,8,13,4,9,11,5,8,6,6,7,6,11,11,13,13
soldier,10,11,7,8,15,13,10,10,9,12,16,9,9,11,11,9,14,14,12,9,11,11,16,14,14,10,11,16,9,7
soldier,12,9,20,19,18,21,24,12,16,10,20,24,11,11,16,22,19,17,17,20,21,25,20,22,13,13,17,17,20,21
breeder,7,3,10,5,8,11,6,7,8,11,10,13,11,9,8,11,10,6,11,11,5,10,11,10,7,5,5,12,16,13
breeder,10,6,9,8,8,9,7,11,7,9,8,10,11,9,8,4,10,9,8,7,3,9,8,12,15,6,15,8,11,10
breeder,9,8,14,7,7,12,7,7,4,5,11,13,5,14,14,10,14,12,9,7,10,10,9,8,6,9,7,5,9,13
breeder,6,7,7,8,8,13,6,3,4,19,4,8,11,7,8,11,8,5,3,10,2,8,9,11,9,16,10,13,5,4
soldier,11,17,12,11,15,21,9,11,12,16,12,26,16,15,12,15,21,14,16,17,13,15,11,16,17,16,31,10,15,9
soldier,16,21,22,17,15,23,21,16,23,23,20,21,20,13,17,22,26,15,20,17,15,16,21,23,18,14,17,20,27,15
soldier,12,20,16,21,14,15,11,16,14,15,15,18,17,9,11,13,24,17,19,23,10,12,13,18,18,17,14,16,14,13
worker,18,21,17,14,23,23,24,20,15,15,12,21,8,20,27,16,22,18,16,26,16,16,23,21,18,15,23,23,19,21
breeder,3,6,3,5,5,4,5,6,6,6,4,7,6,2,4,7,1,8,9,4,4,2,6,3,3,9,7,2,5,4
breeder,3,3,3,5,5,4,3,5,3,5,3,5,3,4,6,5,7,3,8,2,2,4,4,2,4,4,5,4,4,3
breeder,2,6,4,5,3,2,1,1,2,7,2,6,2,6,5,2,6,1,6,8,1,2,3,4,1,5,3,5,4,1
worker,26,23,33,23,30,25,40,25,34,37,15,41,19,30,30,23,46,29,31,46,33,34,27,35,27,30,31,28,36,22
worker,21,16,15,13,18,19,23,13,18,14,17,16,15,15,26,14,22,16,21,22,19,21,21,14,20,22,18,10,23,17
breeder,1,2,1,4,4,7,2,5,4,1,3,4,2,2,2,1,6,2,7,4,6,2,1,5,4,2,2,6,2,2
soldier,13,15,8,14,25,18,20,18,15,15,11,13,12,21,19,17,22,14,18,14,14,10,18,19,19,12,20,15,18,14
worker,12,7,12,9,7,9,7,6,8,8,8,11,11,4,8,11,7,8,6,6,8,9,2,10,4,6,7,11,6,5
worker,25,40,24,29,17,22,37,10,22,28,25,27,22,20,21,27,25,24,26,24,25,23,30,31,21,23,19,33,29,20
soldier,31,40,31,31,30,24,31,23,21,35,22,28,22,23,39,23,17,21,24,33,24,21,37,32,20,30,21,18,29,23
breeder,0,5,3,4,6,5,7,6,4,4,7,5,4,1,3,3,7,6,2,5,6,4,4,6,2,4,7,5,6,2
