2,1,0,5,2,2,2,3,1,4,1,4,2,3,3,3,2,2,2,2,0,2,1,3,2,2,2,2,1,1
13,8,9,4,6,7,5,7,6,9,11,8,8,9,4,11,5,5,13,8,11,6,8,6,3,2,6,8,8,15
9,11,7,7,10,8,13,5,5,10,7,5,6,10,7,11,13,9,7,4,6,10,6,10,4,5,9,7,10,10
8,5,13,6,7,10,8,9,9,6,5,8,8,7,5,12,5,8,8,5,11,5,8,8,5,4,13,6,9,6
3,5,3,0,4,1,4,6,6,5,2,2,5,2,2,3,6,1,1,5,5,2,2,2,3,3,4,2,2,3
4,10,9,3,10,9,6,5,5,8,3,9,7,3,4,7,10,7,5,6,4,6,7,8,4,3,6,8,2,8
7,5,0,2,6,6,7,6,10,3,9,3,10,7,7,2,6,8,4,6,9,6,6,8,6,7,4,7,10,8
4,8,1,1,3,1,3,3,6,7,4,5,6,4,3,1,2,6,4,1,8,4,3,9,3,3,8,5,5,5
10,8,8,9,4,12,8,8,5,10,6,9,2,1,7,4,7,6,5,7,10,10,12,12,10,4,9,7,11,10
8,2,5,3,1,3,5,4,2,5,4,1,1,5,5,3,4,4,2,5,3,4,3,2,0,4,5,1,2,2
8,2,6,7,6,4,2,4,2,1,2,2,3,1,6,6,3,1,2,2,2,0,6,4,2,3,2,5,5,6
2,2,1,8,3,3,1,2,7,2,5,2,3,9,4,1,4,3,3,4,6,2,2,6,2,6,3,4,2,4
6,4,0,2,7,5,3,6,4,6,7,4,9,2,3,4,1,1,3,5,3,1,5,4,2,0,2,6,2,3
11,1,3,3,2,4,3,4,3,2,7,2,2,1,6,2,5,2,3,3,1,5,4,3,7,3,1,4,2,5
7,3,7,3,4,5,7,5,6,5,7,3,8,6,6,6,9,9,9,13,4,8,8,13,7,4,11,2,5,11
4,3,2,1,4,5,6,3,4,4,3,5,3,2,5,4,4,7,1,5,6,5,7,4,2,1,1,4,2,2
3,5,1,3,2,4,7,5,4,6,10,4,7,2,4,5,5,3,4,4,4,3,9,8,9,5,1,3,1,5
5,5,3,1,4,7,4,2,3,5,6,3,3,4,6,4,3,12,4,3,4,6,2,4,5,5,2,2,3,8
12,10,2,9,11,8,9,4,14,10,7,16,8,8,10,4,6,6,17,5,16,9,20,13,15,13,9,12,8,5
3,7,3,2,6,5,8,9,6,5,3,1,6,3,3,4,1,6,4,5,5,2,2,3,4,1,5,1,3,5
6,1,7,4,11,3,5,9,6,7,3,4,3,7,7,7,3,7,7,6,8,2,8,4,6,6,7,11,13,12
8,3,6,9,10,10,5,13,3,8,11,9,6,15,6,7,13,10,9,10,11,4,4,17,11,6,11,11,6,7
5,1,3,7,3,5,4,5,6,2,1,7,6,2,2,2,4,6,1,4,2,1,7,3,1,5,4,0,1,7
1,5,4,4,2,8,2,5,3,3,7,0,3,3,2,2,8,7,5,6,1,2,1,6,5,4,4,3,1,3
5,7,2,5,4,6,9,9,8,7,5,4,4,4,4,3,7,6,5,6,4,6,5,8,4,0,8,5,3,5
2,5,3,4,2,4,1,6,4,3,0,3,2,1,3,8,4,3,3,4,2,5,2,5,7,0,1,4,3,3
8,11,9,5,7,3,7,3,7,11,7,8,3,8,9,3,7,6,8,6,9,6,9,8,12,5,8,5,5,6
6,4,2,1,5,1,5,4,9,4,6,1,2,2,4,5,7,3,3,3,3,5,3,4,10,3,4,4,5,7
8,5,3,4,11,9,13,3,4,7,5,6,9,5,3,10,7,5,10,6,8,7,6,8,6,8,9,8,7,7
